shift,delta,n_cell,is_observed
37171,0.0003559694942397235,200,False
151499,0.0012419984165867452,193,False
49663,-0.00028813186838876363,192,False
124057,0.0006736716239612341,204,False
89643,-0.00019141890639450202,260,False
120572,0.00045359513692903896,195,False
97132,0.001270239920683915,212,False
99398,0.0013425643840214209,182,False
95349,0.0007889016690809155,189,False
120498,0.000597212389146738,178,False
114323,-0.0002452424638720172,216,False
20892,-9.602727569138364e-05,226,False
127771,0.0005893691270081097,250,False
82951,-0.000647919703913257,179,False
50032,0.00016022904074653244,202,False
79574,0.0003913106934316968,202,False
149553,0.0010667010912100332,181,False
132643,0.0004562075725308642,242,False
128953,0.001309150453007223,243,False
71626,0.0006289682864262064,185,False
121293,0.000167772777759859,224,False
59615,0.002013867935914867,247,False
106150,0.0007156145088181149,187,False
98947,0.00046691577525795,180,False
38705,0.0006735080901406363,202,False
41280,0.0004508519472909453,206,False
9544,0.0007753616894167774,209,False
21698,0.0007052611841276722,220,False
67116,0.0006676983656748999,195,False
73957,-0.0007602189778644229,161,False
25617,0.0008206848852261771,225,False
64530,0.0002215017498534218,204,False
93478,0.0004254568201441045,218,False
36042,0.0006848059491292219,193,False
52374,-0.00023717680181229852,224,False
56898,0.00031148440246305355,233,False
78157,-3.1964505662313265e-05,186,False
56725,-8.21771601538787e-06,222,False
113998,0.0008815205424606172,218,False
50714,0.0011228063517681247,205,False
67159,4.4838308602296203e-05,194,False
58746,0.0006781059016279459,245,False
28367,0.0010136225162215744,256,False
106085,0.0005907071193457608,198,False
36486,0.0004135735037180876,193,False
45981,0.0002842786911266933,218,False
122624,0.0009775275308739411,226,False
146752,0.00044398133305629183,261,False
103782,0.0015374133172440863,185,False
141727,0.00031770912919361544,207,False
132120,0.00048212516699358446,250,False
74425,-0.0007716479356085619,187,False
119152,0.001698245007848466,235,False
50847,0.0005363362379438574,238,False
71270,0.0009346867173627473,144,False
82853,-0.001075639498631866,186,False
148550,0.0006393928019345328,211,False
131250,0.00021578175379302267,231,False
75715,-0.0005464052925176077,210,False
100960,0.0006764563689911724,190,False
31372,-0.0005354424309421058,198,False
124423,0.0010948401631766583,199,False
85574,7.676550918769212e-05,219,False
82434,-0.0002620538687762039,226,False
