term,coefficient,std_error_hc3,t_stat,p_value,ci_lower,ci_upper,model,moderator,q_value_bh_fdr,bh_supported
z_mean_btc_weight,-0.10520720316768208,0.041286983719033304,-2.5481930063876654,0.01082825445492446,-0.18612820428727894,-0.024286202048085223,scsad,mean_btc_weight,0.032275574184174295,True
const,-0.04347014405441124,0.07836648243675008,-0.5547032698513191,0.5790976392593663,-0.1970656272255321,0.1101253391167096,standard_csad,provider,,False
provider_binance_archive,0.5675204633551771,0.19793669519749144,2.8671816652740074,0.00414145210255567,0.17957166954921167,0.9554692571611426,standard_csad,provider,0.026919438666611856,True
provider_coinmarketcap,-0.021378307165117273,0.08030298498178223,-0.2662205790976166,0.7900693349094071,-0.1787692655804713,0.13601265125023676,standard_csad,provider,0.8559084461518577,False
provider_okx,0.06366100639305883,0.16021833643601133,0.39733907996531986,0.6911174326378752,-0.25036116268444486,0.3776831754705625,standard_csad,provider,0.8559084461518577,False
const,0.10648370576943512,0.08542181839261974,1.2465633227334234,0.21255765716749075,-0.06093998177402073,0.273907393312891,standard_csad,frequency,,False
frequency_weekly,-0.06453775748049242,0.13850115792395104,-0.4659726925599363,0.6412350470533158,-0.33599503882853077,0.20691952386754595,standard_csad,frequency,0.8559084461518577,False
const,-0.043470144054411006,0.07836648243675005,-0.5547032698513163,0.5790976392593683,-0.19706562722553178,0.11012533911670978,standard_csad,universe_type,,False
universe_type_fixed_survivor_62,-0.02137830716511783,0.08030298498178215,-0.26622057909762376,0.7900693349094017,-0.17876926558047168,0.13601265125023604,standard_csad,universe_type,0.8559084461518577,False
universe_type_listing_aware_survivor_14,0.06366100639305856,0.16021833643601135,0.39733907996531814,0.6911174326378764,-0.2503611626844452,0.3776831754705623,standard_csad,universe_type,0.8559084461518577,False
universe_type_point_in_time_top50,0.5675204633551767,0.19793669519749116,2.867181665274009,0.004141452102555645,0.17957166954921172,0.9554692571611416,standard_csad,universe_type,0.026919438666611856,True
const,-0.06248147382081868,0.026165137782381023,-2.3879665507778145,0.016941883666959343,-0.1137642015248137,-0.011198746116823657,standard_csad,weighting_class,,False
weighting_class_equal,0.06341116655456547,0.11270066924312415,0.5626511979070096,0.573672421797514,-0.15747808619551887,0.2843004193046498,standard_csad,weighting_class,0.8559084461518577,False
weighting_class_lagged_liquidity,0.3953991394770733,0.16586218780358258,2.3839016276893266,0.017130180805728385,0.07031522498503279,0.7204830539691138,standard_csad,weighting_class,0.07423078349148966,False
weighting_class_lagged_size,-0.004733954797420097,0.040839940812641654,-0.11591483002234769,0.9077200422676273,-0.08477876792094521,0.07531085832610501,standard_csad,weighting_class,0.9077200422676273,False
const,0.07421482702918891,0.0676657956180692,1.0967849613131704,0.2727354057557031,-0.05840769536747492,0.20683734942585275,standard_csad,mean_active_assets,,False
z_mean_active_assets,0.029350349771543723,0.05189729015114893,0.5655468654733593,0.5717018569472192,-0.07236646981993344,0.13106716936302087,standard_csad,mean_active_assets,0.8559084461518577,False
const,0.07421482702918891,0.06564771378123689,1.1305013191548587,0.258265042905249,-0.05445232764942917,0.202881981707807,standard_csad,mean_weight_hhi,,False
z_mean_weight_hhi,-0.08238076900225999,0.05610194852363485,-1.468411903154385,0.14199237023708378,-0.19233856757110435,0.027577029566584366,standard_csad,mean_weight_hhi,0.46147520327052227,False
const,0.07421482702918891,0.0669668987173895,1.108231506171232,0.2677618474214827,-0.05703788261323606,0.20546753667161388,standard_csad,mean_btc_weight,,False
