dgp,scenario,frequency,observations,assets,weighting,model,repetitions,raw_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh_false_positive_rate,bh_wilson_ci_lower,bh_wilson_ci_upper,fpr_classification
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,intercept_restored,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,,,,diagnostic_only
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,standard_csad,300,0.01,0.003406618437715286,0.02898349336233983,0.01,0.003406618437715286,0.02898349336233983,within_preregistered_tolerance
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,intercept_restored,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,,,,diagnostic_only
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,standard_csad,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,0.006666666666666667,0.0018301483579117855,0.023977583250306973,within_preregistered_tolerance
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,intercept_restored,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,,,,diagnostic_only
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,standard_csad,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,0.016666666666666666,0.00713947735063333,0.0384153948330945,within_preregistered_tolerance
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,0.9966666666666667,0.9813633063054688,0.9994113422781488,materially_inflated
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,intercept_restored,300,0.02,0.009197631557703617,0.042939620817860576,,,,diagnostic_only
