dgp,scenario,frequency,observations,assets,weighting,repetitions,no_intercept_raw_false_positive_rate,restored_raw_false_positive_rate,support_disappearance_rate,median_magnitude_reduction,mechanical_change_rate,mean_no_intercept_residual,mean_restored_residual
independent_gaussian,n50_weekly_equal,weekly,261,50,equal,300,1.0,0.016666666666666666,0.9833333333333333,0.9861723254009279,1.0,0.003910152455361641,6.79466593674747e-19
independent_gaussian,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,1.0,0.02,0.98,0.9779630086884243,1.0,0.004172023926187026,-5.0213930501934e-19
independent_gaussian,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,1.0,0.0,1.0,0.9886484647485194,1.0,0.004294734304313663,2.0578923889174028e-19
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,1.0,0.0033333333333333335,0.9966666666666667,0.9880258630233634,1.0,0.004339586249126717,1.792393629770775e-18
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,1.0,0.013333333333333334,0.9866666666666667,0.9833564100138878,1.0,0.0043293834132147576,-7.776368237430008e-19
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,1.0,0.006666666666666667,0.9933333333333333,0.9842543426522856,1.0,0.004405772433702868,-1.0993061102201138e-18
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,1.0,0.006666666666666667,0.9933333333333333,0.966093511058971,1.0,0.003983777887777224,1.4727018255234742e-18
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,1.0,0.02,0.98,0.9699108595056414,1.0,0.003987861169795638,-2.788200461472553e-18
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,1.0,0.006666666666666667,0.9933333333333333,0.9769608451681681,1.0,0.004256207704262208,-1.675700567464913e-18
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,1.0,0.006666666666666667,0.9933333333333333,0.9753651257250703,1.0,0.004308165143234787,1.4908396897302303e-18
