dataset_id,provider,sample,universe_type,weighting_class,frequency,model,dgp,scenario,empirical_standardized_coefficient,empirical_hac_p_value,null_repetitions,null_mean,null_std,null_ci_lower,null_median,null_ci_upper,empirical_percentile_in_null,negative_tail_monte_carlo_p,negative_tail_q_value_bh_fdr,more_negative_than_null_bh
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,standard_csad,heteroskedastic_factor,n14_weekly_equal,-0.2056047441631461,0.012099358796311624,300,-0.0032537748186028987,0.19705695557050712,-0.3353826546902729,-0.007446482530669934,0.3907731392929795,0.16666666666666666,0.16943521594684385,0.5083056478405316,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,standard_csad,independent_gaussian,n14_weekly_equal,-0.2056047441631461,0.012099358796311624,300,0.0649452485769491,0.19067399803624627,-0.3118264229087907,0.0590823241289507,0.38059432082197525,0.09333333333333334,0.09634551495016612,0.3853820598006645,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,no_intercept_csad,common_factor,n14_weekly_equal,-0.6935925003371974,7.820752295090421e-12,300,-3.9990506033957134,0.3734368218462117,-4.66842004694206,-4.013218339526559,-3.2387658795801126,1.0,1.0,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,no_intercept_csad,fat_tail_correlated,n14_weekly_equal,-0.6935925003371974,7.820752295090421e-12,300,-2.800891483811771,0.4586839448438448,-3.6199339389454113,-2.7996949319605147,-1.981295472907741,0.9966666666666667,0.9966777408637874,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,no_intercept_csad,heteroskedastic_factor,n14_weekly_equal,-0.6935925003371974,7.820752295090421e-12,300,-1.2143077745729032,0.3350581869742509,-1.9348847473297037,-1.1938357297357638,-0.6617943503102963,0.9633333333333334,0.9634551495016611,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,no_intercept_csad,independent_gaussian,n14_weekly_equal,-0.6935925003371974,7.820752295090421e-12,300,-4.024550386371577,0.38864503462329436,-4.780023671552392,-4.041580243720529,-3.284440303604687,1.0,1.0,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,scsad,common_factor,n14_weekly_equal,-0.128595501294471,0.10750457780173618,300,-0.548649862776553,0.05903392295737376,-0.6472400698111482,-0.5537851839630044,-0.43281190331953445,1.0,1.0,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,scsad,fat_tail_correlated,n14_weekly_equal,-0.128595501294471,0.10750457780173618,300,-0.48712530228532797,0.10793410428232156,-0.6541286985149818,-0.48353262522477314,-0.3207994277881092,0.99,0.9900332225913622,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,scsad,heteroskedastic_factor,n14_weekly_equal,-0.128595501294471,0.10750457780173618,300,-0.3629620140625635,0.07394290851528271,-0.49576623526881175,-0.36524152023388157,-0.22352387457899422,0.9933333333333333,0.9933554817275747,1.0,False
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,scsad,independent_gaussian,n14_weekly_equal,-0.128595501294471,0.10750457780173618,300,-0.5497337862268984,0.05683106064908277,-0.6542665968654519,-0.5501678283723426,-0.4371069290369652,1.0,1.0,1.0,False
