dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-03-27 00:00:00+00:00,-0.05541773971071616,0.0431527196279171,,,
cmc_fixed62_historical_current,daily,2018-03-28 00:00:00+00:00,0.010245792010251047,0.04389690083585046,,,
cmc_fixed62_historical_current,daily,2018-03-29 00:00:00+00:00,-0.11878842401907987,0.042628784564686203,,,
cmc_fixed62_historical_current,daily,2018-03-30 00:00:00+00:00,-0.0192418716271956,0.04624984474305875,,,
cmc_fixed62_historical_current,daily,2018-03-31 00:00:00+00:00,0.006852097364767811,0.046096074468492454,,,
cmc_fixed62_historical_current,daily,2018-04-01 00:00:00+00:00,-0.03186974988002076,0.04502040632229947,,,
cmc_fixed62_historical_current,daily,2018-04-02 00:00:00+00:00,0.035820172694947874,0.04499512656291383,,,
cmc_fixed62_historical_current,daily,2018-04-03 00:00:00+00:00,0.06977702236172699,0.04570049610083526,,,
cmc_fixed62_historical_current,daily,2018-04-04 00:00:00+00:00,-0.09462194247725964,0.04813787083554049,,,
cmc_fixed62_historical_current,daily,2018-04-05 00:00:00+00:00,0.0011295720591257238,0.05013480548109581,,,
cmc_fixed62_historical_current,daily,2018-04-06 00:00:00+00:00,-0.033473334103990546,0.04964083494241397,,,
cmc_fixed62_historical_current,daily,2018-04-07 00:00:00+00:00,0.03787555612818662,0.048334598993160185,,,
cmc_fixed62_historical_current,daily,2018-04-08 00:00:00+00:00,0.023476248056872127,0.0485520511778347,,,
cmc_fixed62_historical_current,daily,2018-04-09 00:00:00+00:00,-0.025655633265176003,0.048815715869168864,,,
cmc_fixed62_historical_current,daily,2018-04-10 00:00:00+00:00,0.01577905130998522,0.048177463690605056,,,
cmc_fixed62_historical_current,daily,2018-04-11 00:00:00+00:00,0.04366015891838903,0.04602426787542946,,,
cmc_fixed62_historical_current,daily,2018-04-12 00:00:00+00:00,0.12758055720857972,0.04686715863578196,,,
