dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,no_intercept_target_coefficient,no_intercept_target_standardized_coefficient,no_intercept_target_p_value,no_intercept_q_value_bh_fdr,no_intercept_supports_negative_relation,no_intercept_sse,no_intercept_residual_mean,restored_target_coefficient,restored_target_standardized_coefficient,restored_target_p_value,restored_intercept,restored_intercept_p_value,restored_sse,restored_residual_mean,absolute_standardized_reduction_fraction,restored_raw_support,support_disappears_after_restoring_intercept,material_magnitude_reduction,mechanical_change,sse_improvement_fraction
cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,-9.595219382045176,-2.153179337203472,5.102107117534448e-15,3.0612642705206686e-14,True,0.21915442250180311,0.01700009775352725,-0.38206345497340505,-0.08573552140857468,0.5795166297561325,0.06556105528306112,2.3301668610650416e-48,0.087638189362703,-1.6288759418494086e-16,0.9601818947789426,False,True,True,True,0.6001075937129129
cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,leave_one_out,-9.559653621231273,-2.1446705862523023,6.790155993150942e-15,4.0740935958905655e-14,True,0.22215997620555816,0.017167718820180745,-0.36544106926039444,-0.08198526257381406,0.5959057367263607,0.06596754672548094,5.5955399150395174e-49,0.08852352557961575,-1.4865698126336842e-16,0.9617725616701449,False,True,True,True,0.6015325213318015
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,-1.258654347727454,-0.6122545895539803,7.662185581726686e-05,0.0002298655674518006,True,0.2584389997643003,0.004571780394238984,-0.05564086784571931,-0.027065712494312843,0.5207457664935923,0.012032572307380853,8.03314875199362e-164,0.15799023183109037,-1.070094481566416e-17,0.9557933693661164,False,True,True,True,0.38867496014463954
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,leave_one_out,-1.3554739129372588,-0.6122545895539806,7.66218558172582e-05,0.0002298655674517746,True,0.2997280707325612,0.004923455809180409,-0.059920934603081684,-0.02706571249431255,0.5207457664935977,0.012958154792564004,8.033148751984017e-164,0.18323127478635334,-2.176669456822596e-17,0.9557933693661168,False,True,True,True,0.3886749601446393
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,-0.6725018348929112,-0.6935925003371974,7.820752295090421e-12,4.692451377054253e-11,True,0.23550604383051937,0.009865016874467131,-0.05296682974846251,-0.054627948912616436,0.4926145090821732,0.03162636612654704,6.790739806442646e-28,0.15407544396072262,1.2761184191093753e-17,0.9212391297684758,False,True,True,True,0.3457686203942937
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,leave_one_out,-0.724232745269289,-0.6935925003371977,7.820752295091127e-12,4.6924513770546767e-11,True,0.2731312697679396,0.01062386432634923,-0.05704120126757482,-0.05462794891261626,0.4926145090821745,0.034059163520896815,6.790739806443472e-28,0.17869104743373748,5.742532885992189e-18,0.921239129768476,False,True,True,True,0.3457686203942937
binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,-1.6506034837810537,-0.4769606371379955,0.0017570952116112068,0.0035141904232224136,True,0.35824841012456626,0.0051118476680651614,0.47075486529780225,0.13602996885352162,0.15705702913371897,0.013431946281778505,6.32846522719612e-170,0.23287148257878165,-9.606530004971235e-18,0.7147983328985594,False,True,True,True,0.34997204175222973
binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,leave_one_out,-1.728296990971217,-0.4616310662179136,0.0016821539217291854,0.0040605205417542384,True,0.41160882291721956,0.005374138582381868,0.49183556172313947,0.1313701151759516,0.1617035179026184,0.014139512866447204,4.296438147941894e-162,0.27285527973781065,-7.782505320483025e-18,0.7154218492003783,False,True,True,True,0.3371005077005219
binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,-1.0064248256345951,-0.6893798545672787,7.712284618671798e-06,4.6273707712030786e-05,True,0.29510981590279445,0.012363243347260945,0.07848393088964861,0.05375984324359107,0.46846395280770003,0.03739429467216849,1.6532684994315074e-47,0.1744456622818507,4.2537280636979175e-18,0.9220170956731308,False,True,True,True,0.4088788210985467
binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,leave_one_out,-1.0640018164438068,-0.6891111375163909,6.853874225029836e-06,4.1123245350179015e-05,True,0.32617692609492743,0.012904576982218769,0.0707184490030128,0.045801492142879964,0.5326700988851849,0.0392520945831857,5.1079188047630665e-46,0.19397215859053227,-5.2320855183484386e-17,0.9335354057576952,False,True,True,True,0.4053161242494496
