term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
market_return_sq,0.13902235360875914,0.2786187830369945,0.49896978263055586,0.6178006718171978,-0.4070604265601294,0.6851051337776477,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
const,0.058392343620788684,0.0036055965805917574,16.194918736916826,5.47700294258481e-59,0.05132550418004807,0.0654591830615293,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
abs_market_return,0.30283099602745,0.06577842656152987,4.603804193220988,4.148425230029323e-06,0.1739076490071386,0.4317543430477614,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return_sq,-0.12785439804830867,0.26563438573828074,-0.48131719729342065,0.630291076361198,-0.6484882271507592,0.3927794310541418,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return,0.04358500845984561,0.03085369722983979,1.4126348662581962,0.15776311181734093,-0.016887126900543614,0.10405714382023483,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
abs_market_return,1.119036311182163,0.06296911017906111,17.77119460637181,1.1814774097948468e-70,0.9956191230926688,1.2424534992716574,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return_sq,-2.089631287299285,0.3571718452020571,-5.850492740034286,4.901188575088623e-09,-2.7896752401870324,-1.3895873344115377,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
const,0.004522092976720905,0.003465644916335756,1.3048344783983632,0.19194921602673742,-0.0022704462425015056,0.011314632195943315,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return,0.8687545936675388,0.037384679318880364,23.238251858664256,1.8701468966694354e-119,0.7954819686289539,0.9420272187061237,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return_sq,0.09619006986094825,0.2716449121163516,0.35410223262251966,0.723262268963628,-0.4362241744706491,0.6286043141925456,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return_cu,-3.3335684195319883,0.9215008420159048,-3.6175424563252347,0.000297413556035432,-5.139676881606496,-1.5274599574574808,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
const,0.05923860994461609,0.0035612570773034713,16.634185249403743,3.940797209006936e-62,0.05225867433341291,0.06621854555581927,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return,0.06885583856442945,0.028445177209949924,2.4206507154521844,0.015492755493573082,0.013104315699068059,0.12460736142979084,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
abs_market_return,0.2481400214687234,0.060131826882082545,4.126600410051097,3.681652938879671e-05,0.13028380645524418,0.36599623648220264,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
market_return_sq,0.14074812956612592,0.28237472546140635,0.4984445025529125,0.6181707764782134,-0.41269616248261587,0.6941924216148677,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out
const,0.023336709275861837,0.0006236610668963363,37.4188970813867,1.925968459664285e-306,0.022114356046185193,0.024559062505538482,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
abs_market_return,0.23132140012871844,0.021645091446479987,10.687014222170767,1.1707954861681235e-26,0.18889780045154167,0.2737449998058952,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return_sq,-0.05269114788755835,0.1366217369849979,-0.38567177559266597,0.6997397684742879,-0.32046483188345815,0.21508253610834144,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
market_return,0.006347186551130759,0.013699679484869965,0.4633091276435075,0.6431428041318261,-0.02050369183895661,0.03319806494121813,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
abs_market_return,0.8312898325116697,0.046178982574922596,18.001475696502244,1.8969655264676402e-72,0.7407806898221186,0.9217989752012207,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline
