model,status,nobs,base_design_columns,interaction_coefficient,interaction_standardized_coefficient,interaction_t_stat,interaction_p_value,condition_number,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,metric,interaction_q_value_bh_fdr,interaction_supported
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",-15.389365302871997,-0.0895962821009977,-2.8473323200277036,0.0044087312980809375,8135.765672706258,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.039678581682728434,True
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-0.7833792620373584,-0.07279451155369314,-1.313661568507791,0.18896011947025204,1412.0601398234671,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.5668803584107561,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",-0.055633852510897294,-0.005169704274336332,-0.0679828049163926,0.945799322302401,1163.6287112937796,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.945799322302401,False
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",1.4456431681248072,0.004667279621977053,0.13887895024355068,0.8895458050294897,11674.809887388752,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.945799322302401,False
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-0.5729216766868953,-0.055965545947948704,-1.0135510569013888,0.31079702175462565,1426.5570340988318,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.6992932989479077,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",0.2806528039984108,0.027415418261748887,0.3545553237938962,0.7229227507598652,1171.6953795109857,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.945799322302401,False
scsad,estimated,830,"const,market_return,market_return_sq,market_return_cu",7.585675499241322,0.027476922837841863,0.7994098952544222,0.4240527745816719,11197.91135058018,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.7632949942470094,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",0.22064397503042996,0.05966950608330577,0.6902312061032156,0.49004880191075484,503.65374292295036,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,active_assets,0.7444853345443018,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",1.1262312235104592,0.30457056818885797,1.397032118821113,0.1624039127592415,419.7414729525807,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,active_assets,0.7308176074165866,False
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",8.879061764728585,0.12841115141401296,2.08003579663933,0.03752224964729404,2224.870270195675,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,active_assets,0.33770024682564637,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",0.12128364870614969,0.02447896516444131,0.2875593403452026,0.7736840724488089,446.9626183124438,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,weight_hhi,0.7736840724488089,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",0.35206364117826255,0.07105783590786768,0.3094613613869919,0.7569705997286162,356.86236715813345,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,weight_hhi,0.7736840724488089,False
scsad,estimated,118,"const,market_return,market_return_sq,market_return_cu",3.810277113099771,0.034430750678007875,0.7369852105709369,0.4611313432270837,1689.42810457945,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,weight_hhi,0.7444853345443018,False
standard_csad,estimated,118,"const,abs_market_return,market_return_sq",0.22788654772368758,0.05040344970722118,0.6802857330622966,0.49632355636286785,443.54477670118297,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,btc_weight,0.7444853345443018,False
no_intercept_csad,estimated,118,"market_return,abs_market_return,market_return_sq",0.377495512796258,0.08349363437195155,0.3967421824177115,0.6915575905219805,351.5228975214492,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,btc_weight,0.7736840724488089,False
