dgp,scenario,frequency,observations,assets,weighting,repetitions,mean_asset_volatility,mean_pairwise_correlation,mean_excess_kurtosis,mean_squared_market_return_acf1,mean_weight_hhi,mean_max_weight
heteroskedastic_factor,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,0.03746813408163904,0.3303783156270108,2.950640318491574,0.136908523781217,0.04067162702876924,0.10866905210505917
heteroskedastic_factor,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,0.03763851803588145,0.3272874894971285,3.0856771102590446,0.13538877236364164,0.03886701143464143,0.10419971503313509
heteroskedastic_factor,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,0.039858323785874804,0.3318987397264561,4.545149053279093,0.17482755595039826,0.02823474651876923,0.07189473737011011
heteroskedastic_factor,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,0.039457571820057324,0.3326550875270983,4.456912572534851,0.17852709816113985,0.028177330227406573,0.07095733000186784
independent_gaussian,n14_daily_equal,daily,1826,14,equal,300,0.0257042771256149,-3.3082081437112885e-05,0.7589881106594427,0.0022426567802892737,0.07142857142857141,0.07142857142857141
independent_gaussian,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,0.025903530140038693,-0.00027652410902200567,0.7627941552669151,0.016643949709773266,0.0895450631101502,0.15330576413614178
independent_gaussian,n14_weekly_equal,weekly,261,14,equal,300,0.025916583927521854,-6.412406266086717e-05,0.75523288988949,-0.0034254618010638206,0.07142857142857141,0.07142857142857141
independent_gaussian,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.025663991923300176,0.0004571659079534587,0.7520536371348372,0.017730322300218905,0.09527124277819982,0.16515128377374363
independent_gaussian,n50_daily_equal,daily,1826,50,equal,300,0.02577746802352225,-1.0770884650374577e-05,0.813912534000451,-0.0023260793764573414,0.02000000000000001,0.019999999999999997
independent_gaussian,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,0.025734213931183053,4.910463071424985e-05,0.8374027442081594,0.011819862344174162,0.02565914168530024,0.056182956084322895
independent_gaussian,n50_weekly_equal,weekly,261,50,equal,300,0.025709311933513355,6.091174570065597e-05,0.8300648731895599,-0.006357517674983526,0.02000000000000001,0.020000000000000004
independent_gaussian,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,0.025798189225381258,-9.85547131554842e-05,0.7922321624974454,0.02920836138545414,0.027810927494948352,0.06272100383580903
independent_gaussian,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,0.025844675645504217,-1.4162673364361014e-05,0.8150611514703084,0.028982550966573293,0.01872996120992951,0.036303061166313225
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,0.025767641662299893,-2.935731944842586e-05,0.7972594547086016,0.03656700828934399,0.018849287261610666,0.03671609084587263
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,0.025659599869596355,-5.573632174884048e-05,0.8085918028718126,0.04272856508640414,0.02118285703144551,0.04563769513856039
independent_gaussian,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,0.025742339689227355,7.78764712446443e-06,0.8092978806193609,0.05533833550577332,0.021334794246947855,0.046155164060543034
independent_gaussian,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,0.02575491472463691,0.00021249444178612326,0.8145630079503277,0.01181177734404081,0.03943140977018199,0.10610574457407997
independent_gaussian,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,0.025751487072943634,0.0001332460118408637,0.8172822581662165,0.011045023088363592,0.03911378535751581,0.105840053527863
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,0.025813129941683995,-3.1224598958095576e-05,0.8151834986036618,0.04431330253914871,0.027400391063303414,0.06789758078908568
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,0.025768438752618892,-0.0002251495875858554,0.8048702320419416,0.051604323642408495,0.027858813751860546,0.06926675477605054
