model,target_term,target_coefficient,target_standardized_coefficient,target_std_error,target_standardized_std_error,target_t_stat,target_p_value,target_ci_lower,target_ci_upper,intercept,intercept_p_value,nobs,rsquared,aic,bic,sse,rmse,residual_mean,residual_skew,residual_excess_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag,ljung_box_p_value,breusch_pagan_p_value,target_vif,max_vif,condition_number_standardized,design_rank,design_columns,cov_type,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,q_value_bh_fdr,supports_negative_relation
no_intercept_csad,market_return_sq,-1.258654347727454,-0.6122545895539803,0.3182657393306491,0.15481586342970713,-3.9547277390728723,7.662185581726686e-05,-1.8824437343285392,-0.6348649611263689,,,1826,0.6770198746957421,-10995.835494807663,-10979.305845624198,0.2584389997643003,0.01189675832226904,0.004571780394238984,1.2313481158041384,7.502614085237859,0.0,1.2982300130974853,7,6.990109112373567e-116,1.5409769522087613e-29,2.504949750789928,2.504949750789928,3.2439546038747866,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,0.0002298655674518006,True
scsad,market_return_cu,-2.031531619892637,-0.16621078052420218,0.6485064933737829,0.053057884693109646,-3.1326311157253337,0.0017324702839378347,-3.3025809906456143,-0.7604822491396594,0.0012357996019021085,0.0022791257618567113,1826,0.6474662837476626,-10842.262913697125,-10820.223381452504,0.2808070205153803,0.012400911100404782,1.0930771925909674e-15,0.4951944396690277,5.692206490316877,0.0,1.9948881639501646,7,0.24319761133124737,1.8910173850589198e-13,2.9036951849508315,2.9036951849508315,3.179536102952501,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,0.0034649405678756694,True
intercept_restored,market_return_sq,-0.05564086784571931,-0.027065712494312843,0.08664153318345334,0.04214554729290093,-0.64219625162803,0.5207457664935923,-0.22545515245061984,0.11417341675918122,0.012032572307380853,8.03314875199362e-164,1826,0.27489721509380294,-11892.458449366495,-11870.418917121875,0.15799023183109037,0.009301751470090512,-1.070094481566416e-17,2.6873872100817984,14.339914714263948,0.0,1.014046541615375,7,0.0,1.4031670715298293e-06,3.049609232245144,3.049609232245144,3.243954603874787,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,,False
standard_csad,market_return_sq,-0.190033506870251,-0.08583631572681882,0.0717624556988791,0.03241441420594618,-2.648090913550207,0.00809477530882417,-0.3306853354822052,-0.04938167825829681,0.012968165400475691,4.611893237737846e-162,1826,0.2570190578838545,-11579.340294351576,-11562.81064516811,0.18774903089569367,0.01014001191682908,-7.904106966115573e-18,2.7229929235265056,14.119760933413616,0.0,0.9773234335782697,7,0.0,2.6546084726021707e-05,2.8564134926758125,2.8564134926758142,3.052595404627503,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,leave_one_out,0.012142162963236254,True
no_intercept_csad,market_return_sq,-1.3554739129372588,-0.6122545895539806,0.34274771927915837,0.15481586342970616,-3.9547277390728994,7.66218558172582e-05,-2.027247098507654,-0.6837007273668637,,,1826,0.6770198746957423,-10725.19318050227,-10708.663531318805,0.2997280707325612,0.012811893577828198,0.004923455809180409,1.231348115804126,7.502614085237806,0.0,1.2982300130974904,7,6.990109112387525e-116,1.5409769522104731e-29,2.504949750789928,2.504949750789928,3.2439546038747866,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,leave_one_out,0.0002298655674517746,True
scsad,market_return_cu,-2.1878032829613003,-0.1662107805242021,0.6983916082486845,0.0530578846931093,-3.1326311157253532,0.0017324702839377193,-3.5566256822337285,-0.8189808836888721,0.001330861109740733,0.0022791257618566866,1826,0.6474662837476626,-10571.620599391734,-10549.581067147114,0.3256696805977192,0.013354827338897458,1.1760703157351808e-15,0.49519443966902815,5.692206490316877,0.0,1.9948881639501648,7,0.24319761133124787,1.8910173850598712e-13,2.9036951849508315,2.9036951849508315,3.179536102952501,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,leave_one_out,0.0034649405678754386,True
intercept_restored,market_return_sq,-0.059920934603081684,-0.02706571249431255,0.09330626650525764,0.04214554729290102,-0.6421962516280216,0.5207457664935977,-0.24279785648528263,0.12295598727911927,0.012958154792564004,8.033148751984017e-164,1826,0.2748972150938028,-11621.816135061104,-11599.776602816484,0.18323127478635334,0.010017270813943628,-2.176669456822596e-17,2.6873872100817993,14.339914714263948,0.0,1.014046541615375,7,0.0,1.4031670715299642e-06,3.049609232245144,3.049609232245144,3.243954603874787,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,leave_one_out,,False
standard_csad,market_return_sq,-0.19935274335460962,-0.2056047441631461,0.0794476757634894,0.08193927394644561,-2.5092331706225095,0.012099358796311624,-0.3550673265064646,-0.04363816020275463,0.030927147881022535,7.844107198125698e-26,261,0.2518722408756512,-1176.8294641021962,-1166.135902880228,0.1644300027304227,0.025099801004418134,-1.297387059427865e-17,2.8493876511598173,12.590925220729376,0.0,1.2161198106924096,4,4.639535327407926e-13,0.5536071899276465,3.2386272127487814,3.2386272127487814,3.295822898197207,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,0.014519230555573947,True
no_intercept_csad,market_return_sq,-0.6725018348929112,-0.6935925003371974,0.09829320191917713,0.10137582404682555,-6.841793956878977,7.820752295090421e-12,-0.8651529705796217,-0.47985069920620066,,,261,0.7277478352089246,-1083.0647932085044,-1072.3712319865363,0.23550604383051937,0.030038675187389407,0.009865016874467131,1.6162699317873568,6.461336857183213,2.655443371965373e-119,1.5519162701360278,4,0.03702758426266837,0.38329225229304215,2.9426565875085218,2.9426565875085218,3.655918675090893,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,4.692451377054253e-11,True
scsad,market_return_cu,-0.4041650492281414,-0.128595501294471,0.25111040825972986,0.07989723231162268,-1.609511338176406,0.10750457780173618,-0.8963324055603612,0.08800230710407841,0.000367255457262683,0.8782491681423381,261,0.7083276164145426,-1063.5697546875972,-1049.3116730583065,0.2518333038277908,0.031062494406070607,6.061562490769533e-18,-0.032448148018605974,6.417093639243184,1.2499510476424586e-93,1.9516555172989092,4,0.46761628485917583,0.5863107132694927,6.32017315523099,6.32017315523099,5.0264190033368275,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,0.10750457780173618,False
