target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ETHUSDT,AVAXUSDT,up,489,5335,9.869115957023675e-05,8.602011566888177e-05,1.2671043901354978e-05,0.028341411457618332,0.5501022494887525,8.708401341403331e-05
ETHUSDT,BTCUSDT,up,384,5440,0.0005994597014733145,5.091631778631933e-05,0.0005485433836869952,1.5577821896668926,0.5911458333333334,8.708401341403331e-05
ETHUSDT,DOGEUSDT,up,565,5259,-0.0004783708427007469,0.00014783358437901734,-0.0006262044270797642,-1.7877584024693705,0.5221238938053098,8.708401341403331e-05
ETHUSDT,SOLUSDT,up,400,5424,0.0005966261235385395,4.950716163493991e-05,0.0005471189619035996,1.455328221461316,0.5925,8.708401341403331e-05
ETHUSDT,XRPUSDT,up,453,5371,0.00027672312932243973,7.10895022417175e-05,0.00020563362708072224,0.5073565401593237,0.5364238410596026,8.708401341403331e-05
SOLUSDT,ADAUSDT,up,426,5398,-0.00036850336957606084,6.692092924484358e-05,-0.00043542429882090445,-0.9478603798257258,0.5187793427230047,3.507155573905626e-05
SOLUSDT,AVAXUSDT,up,489,5335,0.0004979805643369139,-7.358154702246899e-06,0.0005053387190391608,1.053526359084722,0.5664621676891616,3.507155573905626e-05
SOLUSDT,BTCUSDT,up,384,5440,0.00041508703550200365,8.246933638142368e-06,0.00040684010186386126,0.9365859307531927,0.6015625,3.507155573905626e-05
SOLUSDT,DOGEUSDT,up,565,5259,-0.0005438388816128245,9.726672537279133e-05,-0.0006411056069856157,-1.5953177862157495,0.5168141592920354,3.507155573905626e-05
SOLUSDT,ETHUSDT,up,385,5439,0.0005264251794066301,2.910547072460151e-07,0.0005261341246993841,1.4657666693467546,0.5636363636363636,3.507155573905626e-05
SOLUSDT,XRPUSDT,up,453,5371,0.0005042957867441619,-4.503677298611349e-06,0.0005087994640427733,1.0573856240821051,0.5298013245033113,3.507155573905626e-05
XRPUSDT,ADAUSDT,up,426,5398,-0.00018264110391093751,-7.672534517884121e-05,-0.00010591575873209631,-0.16787074153337395,0.5234741784037559,-8.447261736631942e-05
XRPUSDT,AVAXUSDT,up,489,5335,0.0005993435210969557,-0.0001471504227474894,0.0007464939438444452,1.0851457476420543,0.5644171779141104,-8.447261736631942e-05
XRPUSDT,BTCUSDT,up,384,5440,7.583157061447673e-05,-9.578820710614034e-05,0.00017161977772061707,0.27044945110421614,0.5546875,-8.447261736631942e-05
XRPUSDT,DOGEUSDT,up,565,5259,-0.00045846503909354857,-4.429278882935716e-05,-0.0004141722502641914,-0.8073295006417939,0.5079646017699115,-8.447261736631942e-05
XRPUSDT,ETHUSDT,up,385,5439,0.0003780617375572156,-0.00011721314442010893,0.0004952748819773246,1.5198033055891433,0.5142857142857142,-8.447261736631942e-05
XRPUSDT,SOLUSDT,up,400,5424,0.00045749926940559044,-0.00012444104559433637,0.0005819403149999268,0.9080439564909841,0.5725,-8.447261736631942e-05
