target,leader,direction,event_count_h1,control_count_h1,event_mean_return_h1,control_mean_return_h1,delta_mean_return_h1,delta_t_stat_h1,event_win_rate_h1,baseline_mean_return_h1,event_count_h2,control_count_h2,event_mean_return_h2,control_mean_return_h2,delta_mean_return_h2,delta_t_stat_h2,event_win_rate_h2,baseline_mean_return_h2,same_sign,both_strong,both_strong_same_sign,sign_flip
ETHUSDT,SOLUSDT,down,465,5359,5.098068789117496e-05,9.021669607276233e-05,-3.923600818158737e-05,-0.12158392210518217,0.5333333333333333,8.708401341403331e-05,562,5292,-0.00036787377144995145,5.321491834649798e-05,-0.0004210886897964494,-1.4715756850501214,0.4875444839857651,1.2789253217423077e-05,True,False,False,False
ETHUSDT,XRPUSDT,down,436,5388,6.569599137621574e-05,8.881474422481439e-05,-2.3118752848598652e-05,-0.06768541086847978,0.5252293577981652,8.708401341403331e-05,559,5295,-0.00016447167557358329,3.15029187876162e-05,-0.0001959745943611995,-0.5896415779115561,0.49552772808586765,1.2789253217423077e-05,True,False,False,False
SOLUSDT,ADAUSDT,down,436,5388,0.0004764149721391957,-6.422025294034075e-07,0.0004770571746685991,1.4634917812368242,0.536697247706422,3.507155573905626e-05,487,5367,-0.0004295045931085669,-5.19808907544171e-05,-0.0003775237023541498,-1.1498701203121828,0.4681724845995893,-8.338745772511594e-05,False,False,False,True
SOLUSDT,AVAXUSDT,down,439,5385,-0.00016602093894592306,5.1465168583384194e-05,-0.00021748610752930726,-0.6577675295065564,0.5034168564920274,3.507155573905626e-05,474,5380,9.712480941699267e-05,-9.929132661458795e-05,0.00019641613603158062,0.6027581860345445,0.5,-8.338745772511594e-05,False,False,False,True
SOLUSDT,BTCUSDT,down,350,5474,0.0001451746283865415,2.8031717334485618e-05,0.00011714291105205588,0.23405164503950315,0.5028571428571429,3.507155573905626e-05,493,5361,-0.00019076407069335837,-7.35130555252757e-05,-0.00011725101516808267,-0.44693061014931595,0.45233265720081134,-8.338745772511594e-05,False,False,False,True
SOLUSDT,DOGEUSDT,down,390,5434,0.001168880912578728,-4.630232154608761e-05,0.0012151832341248156,2.6537062481571914,0.558974358974359,3.507155573905626e-05,485,5369,-0.0007570261135534162,-2.2535390659232963e-05,-0.0007344907228941832,-2.095882644181376,0.465979381443299,-8.338745772511594e-05,False,True,False,True
SOLUSDT,ETHUSDT,down,502,5322,-0.0004949728471071803,8.506822808569491e-05,-0.0005800410751928753,-1.527063626591293,0.5119521912350598,3.507155573905626e-05,480,5374,-0.00019097854846950518,-7.377753521724342e-05,-0.00011720101325226176,-0.39010871033340744,0.4625,-8.338745772511594e-05,True,False,False,False
SOLUSDT,XRPUSDT,down,436,5388,-4.803904037476129e-05,4.1796912068979164e-05,-8.983595244374046e-05,-0.2661971586243055,0.5160550458715596,3.507155573905626e-05,559,5295,-0.0006971982688455205,-1.858665632449152e-05,-0.000678611612521029,-1.7833252374593076,0.4776386404293381,-8.338745772511594e-05,True,False,False,False
XRPUSDT,ADAUSDT,down,436,5388,0.0006950684477479298,-0.00014755352018551259,0.0008426219679334424,2.490055554122481,0.5458715596330275,-8.447261736631942e-05,487,5367,-0.0003530058758082533,-7.87416404961033e-05,-0.00027426423531215006,-0.864654186951273,0.42915811088295686,-0.00010155795115497193,False,False,False,True
XRPUSDT,AVAXUSDT,down,439,5385,0.00019100001315637322,-0.00010692990330865226,0.00029792991646502545,0.7871912293211072,0.5193621867881549,-8.447261736631942e-05,474,5380,6.06952474155453e-05,-0.00011585312143795061,0.00017654836885349593,0.5722800801064782,0.49156118143459915,-0.00010155795115497193,True,False,False,False
