target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bonferroni_10,bh_fdr_05,bh_fdr_10,bh_fdr_20
XRPUSDT,ADAUSDT,down,923,10755,0.000142075819826,-0.0001132147606975,0.0002552905805236,1.0995782209860334,0.4842903575297941,-9.303722979985017e-05,0.2715159354776493,False,False,False,False,False
ADAUSDT,BTCUSDT,down,773,9964,0.0004678096914041,-9.23859474833135e-05,0.0005601956388874,1.091548036864854,0.4670116429495472,-5.205520063968875e-05,0.27503180671605243,False,False,False,False,False
DOGEUSDT,SOLUSDT,up,824,10851,0.0003829454552124,-4.385948591719958e-05,0.0004268049411296,1.0799271133009924,0.5400485436893204,-1.3736379151390783e-05,0.2801746384121033,False,False,False,False,False
BTCUSDT,ETHUSDT,up,898,10780,-0.000148429286818,-3.3983125096242494e-06,-0.0001450309743084,-1.0455633096055883,0.5033407572383074,-1.4550720021952882e-05,0.29576269649732967,False,False,False,False,False
BTCUSDT,DOGEUSDT,up,1041,10637,-0.0001620502372702,-1.1554116932165705e-07,-0.0001619346961008,-1.0360058086197932,0.5225744476464937,-1.4550720021952882e-05,0.30019943264666127,False,False,False,False,False
XRPUSDT,AVAXUSDT,down,913,10765,0.0001233500033413,-0.0001113894400978,0.0002347394434391,0.968234799497926,0.5049288061336255,-9.303722979985017e-05,0.33292711893356053,False,False,False,False,False
AVAXUSDT,ETHUSDT,down,757,7149,-0.0003357896212468,9.809109337153066e-05,-0.0004338807146183,-0.9564347444485828,0.4782034346103038,5.6546987506861145e-05,0.33885263811361166,False,False,False,False,False
XRPUSDT,ETHUSDT,down,982,10696,-0.0003374126646328,-7.060111564446462e-05,-0.0002668115489883,-0.8981231939988655,0.4837067209775967,-9.303722979985017e-05,0.36911987490221576,False,False,False,False,False
XRPUSDT,BTCUSDT,down,843,10835,0.0001534090230429,-0.0001122115898502,0.0002656206128932,0.8668474970175817,0.4638196915776987,-9.303722979985017e-05,0.38602557382892466,False,False,False,False,False
ETHUSDT,ADAUSDT,up,884,10794,-0.0001560921923938,6.670660371820556e-05,-0.000222798796112,-0.8664571745841527,0.5350678733031674,4.984120418377502e-05,0.3862395016471549,False,False,False,False,False
ETHUSDT,BTCUSDT,up,798,10880,0.0002315334000497,3.651488320022472e-05,0.0001950185168494,0.8282095319357439,0.543859649122807,4.984120418377502e-05,0.407551846563305,False,False,False,False,False
BTCUSDT,AVAXUSDT,up,969,10709,0.0001147139074889,-2.6247183189203503e-05,0.0001409610906781,0.819280967264719,0.5614035087719298,-1.4550720021952882e-05,0.412626128945242,False,False,False,False,False
ETHUSDT,BTCUSDT,down,843,10835,0.0002255984531984,3.616669002416785e-05,0.0001894317631742,0.7987610774349706,0.494661921708185,4.984120418377502e-05,0.4244289636286085,False,False,False,False,False
SOLUSDT,AVAXUSDT,up,969,10709,0.0001901777099422,-4.371796039150357e-05,0.0002338956703337,0.7598205920971318,0.5500515995872033,-2.431010762960824e-05,0.4473618323291437,False,False,False,False,False
DOGEUSDT,ETHUSDT,down,981,10694,-0.00025554134141,8.44528046856365e-06,-0.0002639866218786,-0.7592538065092351,0.5005096839959225,-1.3736379151390783e-05,0.4477007446195307,False,False,False,False,False
AVAXUSDT,ADAUSDT,up,789,7117,-0.0002507004433392,9.060884263368484e-05,-0.0003413092859729,-0.7459180383134629,0.514575411913815,5.6546987506861145e-05,0.4557169279317166,False,False,False,False,False
XRPUSDT,SOLUSDT,down,1027,10651,-0.0002425098633427,-7.862464932397584e-05,-0.0001638852140187,-0.7447737521094346,0.4849074975657254,-9.303722979985017e-05,0.45640850506540565,False,False,False,False,False
AVAXUSDT,XRPUSDT,down,901,7005,0.0002626064900034,3.004311716432744e-05,0.0002325633728391,0.7447008528541297,0.5027746947835738,5.6546987506861145e-05,0.4564525834821347,False,False,False,False,False
DOGEUSDT,SOLUSDT,down,1027,10648,-0.0001734040775521,1.6635763574019425e-06,-0.0001750676539095,-0.6715252482141434,0.501460564751704,-1.3736379151390783e-05,0.5018859807035869,False,False,False,False,False
AVAXUSDT,SOLUSDT,up,703,7203,0.0003150757544337,3.131503927007402e-05,0.0002837607151636,0.6028605564450369,0.5234708392603129,5.6546987506861145e-05,0.5466014576130884,False,False,False,False,False
ADAUSDT,BTCUSDT,up,716,10021,-0.0003767849058812,-2.885327778239388e-05,-0.0003479316280988,-0.600157764896686,0.5293296089385475,-5.205520063968875e-05,0.548401098186658,False,False,False,False,False
AVAXUSDT,BTCUSDT,up,557,7349,-0.0002633543918294,8.079315273890602e-05,-0.0003441475445683,-0.6000634315002656,0.5296229802513465,5.6546987506861145e-05,0.5484639624316401,False,False,False,False,False
BTCUSDT,ETHUSDT,down,982,10696,-8.34071421428628e-05,-8.229010362011468e-06,-7.517813178085133e-05,-0.5507075599890963,0.4837067209775967,-1.4550720021952882e-05,0.5818341613347815,False,False,False,False,False
XRPUSDT,ETHUSDT,up,898,10780,-0.0002002679322501,-8.41046536588139e-05,-0.0001161632785913,-0.5329730768725635,0.5077951002227171,-9.303722979985017e-05,0.5940522174587626,False,False,False,False,False
ETHUSDT,XRPUSDT,down,995,10683,-6.361428583477686e-05,6.040829325692477e-05,-0.0001240225790917,-0.5183691801065006,0.5085427135678392,4.984120418377502e-05,0.6042007137286869,False,False,False,False,False
