offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events_with_data
8,5.161898639064626e-05,0.0003504511330285819,0.0008714682641140321,0.0010837121066502955,827
9,0.0007727638055831623,0.0002001996584210411,0.0016442320696971944,0.0012839117650713366,827
10,-0.0004210444372180274,0.00027222777328778113,0.001223187632479167,0.0015561395383591177,827
11,8.639197841864556e-05,0.0002862631536006949,0.0013095796108978125,0.0018424026919598127,827
12,0.00023954177183002764,0.0003062799449584201,0.0015491213827278402,0.002148682636918233,827
13,0.00022693706054395564,0.00019874337827913342,0.0017760584432717959,0.002347426015197366,827
14,0.0002975671790880558,0.00021968596247270912,0.0020736256223598515,0.0025671119776700755,827
15,0.0001103010011145129,1.6030935808894715e-05,0.0021839266234743647,0.00258314291347897,827
16,-0.000132727039719424,-0.0001905890157653742,0.0020511995837549403,0.0023925538977135957,827
17,-3.2888072739057113e-06,2.4299926593269024e-05,0.002047910776481035,0.002416853824306865,827
18,5.80105301346814e-05,6.466917435068504e-05,0.002105921306615716,0.0024815229986575498,827
19,5.700306052630456e-05,2.029448655666796e-05,0.002162924367142021,0.0025018174852142177,827
20,-1.2282230996552429e-05,6.940269995945343e-05,0.0021506421361454685,0.0025712201851736715,827
21,0.00015119479430863138,0.00011036457417688013,0.0023018369304541,0.0026815847593505515,827
22,-3.698148637576811e-05,-5.944884163738161e-06,0.0022648554440783315,0.0026756398751868133,827
23,0.00014155710715847347,0.00015884479073334572,0.002406412551236805,0.002834484665920159,827
24,3.1638438889448125e-05,-0.00011326501272267241,0.0024380509901262533,0.0027212196531974865,827
25,8.79752810113643e-05,6.768891774032856e-05,0.0025260262711376174,0.002788908570937815,827
26,0.00015848804482793474,0.0001171627020369611,0.002684514315965552,0.002906071272974776,827
27,3.327864736078638e-05,0.00011926214099210353,0.0027177929633263385,0.0030253334139668797,827
28,8.436714754680314e-05,7.024928636149933e-05,0.0028021601108731416,0.003095582700328379,827
