offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events
-1,-7.54964766133211e-05,-0.00010232600636648306,-0.00016048231134001018,-0.00018878405326683712,1867
0,0.00016048231134001007,0.00018878405326683712,0.0,0.0,1867
1,-1.1173758636547987e-05,-3.6393782949635086e-05,-1.1173758636547852e-05,-3.639378294963526e-05,1867
2,1.75854924582577e-05,5.749231188039894e-05,6.411733821709998e-06,2.1098528930763548e-05,1867
3,-0.00010095287836464972,-4.718364827686049e-05,-9.454114454293975e-05,-2.608511934609715e-05,1867
4,1.3049364330923337e-06,0.00011548641904297018,-9.323620810984751e-05,8.940129969687302e-05,1867
5,-2.9969288699200336e-05,0.00011785730280941285,-0.00012320549680904782,0.00020725860250628584,1867
6,0.0003193399060633141,0.0003015372935080606,0.00019613440925426648,0.0005087958960143463,1867
7,0.0003984459109596304,0.0001893607643493045,0.000594580320213897,0.0006981566603636506,1867
8,0.00010045257253053128,0.00023348648317848936,0.0006950328927444282,0.0009316431435421398,1867
9,0.0004199880349096357,0.00013865591859076254,0.0011150209276540638,0.0010702990621329024,1867
10,-0.00013463545469933824,0.0002520729936488146,0.0009803854729547256,0.001322372055781717,1867
11,0.00013089941293098782,0.00024279846249202608,0.0011112848858857135,0.001565170518273743,1867
12,0.00011843261997969545,0.00016410399444597966,0.001229717505865409,0.0017292745127197226,1867
13,0.00015249674485956247,0.00013893921689662043,0.0013822142507249715,0.0018682137296163431,1867
14,0.0001845685478230683,0.0002061466675050347,0.0015667827985480398,0.002074360397121378,1867
15,0.00012285275455210494,0.0001037544145956675,0.0016896355531001448,0.0021781148117170452,1867
16,3.044397121932841e-05,-2.3345388632015252e-05,0.0017200795243194733,0.00215476942308503,1867
17,1.4193754666924434e-05,4.494835377980256e-05,0.0017342732789863977,0.0021997177768648324,1867
18,2.6598881432014747e-05,1.8245615870322e-05,0.0017608721604184124,0.0022179633927351546,1867
19,3.410319087443935e-05,-2.4935813697238094e-06,0.0017949753512928517,0.002215469811365431,1867
20,-1.4473996495807103e-05,-1.3641506108884188e-05,0.0017805013547970445,0.002201828305256547,1867
21,1.3932935221921024e-05,1.0510856819129005e-05,0.0017944342900189656,0.0022123391620756756,1867
22,-6.678329772940398e-05,-4.994055179316008e-05,0.0017276509922895616,0.0021623986102825158,1867
23,0.00010204912937965526,6.53650178001601e-05,0.0018297001216692169,0.002227763628082676,1867
24,2.8111421702429753e-05,-6.695920479775637e-05,0.0018578115433716467,0.0021608044232849194,1867
25,4.957337247593816e-05,6.250281723581994e-05,0.0019073849158475849,0.0022233072405207395,1867
26,7.236036773482957e-05,6.582830714284517e-05,0.0019797452835824143,0.0022891355476635845,1867
27,-1.0108509610589561e-05,4.114477082265374e-05,0.001969636773971825,0.002330280318486238,1867
28,5.856163575289647e-05,3.496501827748129e-05,0.0020281984097247213,0.0023652453367637195,1867
29,2.889034037506115e-05,2.091679312738335e-05,0.0020570887500997825,0.002386162129891103,1867
30,8.864626675762863e-05,6.58936309845634e-05,0.002145735016857411,0.002452055760875666,1867
31,1.627974685647521e-05,2.4366856085478975e-05,0.0021620147637138863,0.002476422616961145,1867
32,-0.00010657008916148385,-7.461869521013319e-05,0.0020554446745524027,0.002401803921751012,1867
33,-5.326682679337138e-06,1.824838002005691e-05,0.002050117991873065,0.002420052301771069,1867
34,-2.5928150054385275e-05,-5.2102745847155396e-05,0.00202418984181868,0.0023679495559239135,1867
35,-6.119712654373046e-06,-4.9388431630941216e-05,0.002018070129164307,0.002318561124292972,1867
36,-2.846371045326483e-06,-1.900509771193833e-05,0.002015223758118981,0.0022995560265810337,1867
37,-5.247321776921307e-05,-1.200454602200666e-05,0.0019627505403497676,0.002287551480559027,1867
38,8.438202828406139e-05,0.00012214413851019312,0.002047132568633829,0.0024096956190692203,1867
39,7.415520567678733e-05,4.827037526483372e-06,0.002121287774310616,0.0024145226565957037,1867
40,-1.8538886782800655e-05,-1.0980670034804244e-05,0.0021027488875278158,0.0024035419865608993,1867
41,1.8729895258106045e-05,3.1068268900057055e-05,0.0021214787827859216,0.0024346102554609565,1867
42,1.315308959900853e-05,1.280503305545379e-06,0.00213463187238493,0.002435890758766502,1867
43,1.207775516616114e-06,-2.588282263181078e-06,0.0021358396479015463,0.0024333024765033208,1867
44,1.2152424576114277e-05,-1.1597751522640417e-06,0.0021479920724776606,0.0024321427013510566,1867
45,8.536245800758107e-05,6.317046414911958e-05,0.0022333545304852416,0.0024953131655001764,1867
46,-1.6843489816307853e-05,-2.778096659233044e-05,0.0022165110406689335,0.002467532198907846,1867
47,-7.134973453266634e-05,-1.1667792395703066e-05,0.0021451613061362674,0.002455864406512143,1867
