target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bh_fdr_05,bh_fdr_10,bh_fdr_20
SOLUSDT,ADAUSDT,down,4380,52824,8.540847483491075e-05,6.4934360746126925e-06,7.891503876029806e-05,0.5390564776130137,0.489269406392694,1.2535808457140236e-05,0.5898478851337536,False,False,False,False
AVAXUSDT,SOLUSDT,up,3590,42836,0.0001296052914752,3.420441263654487e-05,9.540087883874768e-05,0.5111898241924696,0.509192200557103,4.158151070726181e-05,0.6092181433472392,False,False,False,False
BTCUSDT,ADAUSDT,up,4240,54158,7.083360153486304e-05,2.8005022865764987e-05,4.282857866909805e-05,0.5053856012344435,0.532311320754717,3.1114601508132454e-05,0.6132880300246821,False,False,False,False
ADAUSDT,XRPUSDT,down,4038,49379,6.596864556225509e-05,-4.594273886441009e-06,7.05629194486961e-05,0.4999821285268261,0.4913323427439326,7.398532403881844e-07,0.6170876613602818,False,False,False,False
BTCUSDT,ETHUSDT,down,4625,53773,6.617120331360753e-05,2.809939344181066e-05,3.807180987179687e-05,0.4887989339237946,0.5061621621621621,3.1114601508132454e-05,0.6249840528442963,False,False,False,False
SOLUSDT,ETHUSDT,down,4594,52610,-4.712132895194319e-05,1.7745177194211693e-05,-6.486650614615488e-05,-0.4701557479183038,0.4921636917718763,1.2535808457140236e-05,0.6382437474366438,False,False,False,False
BTCUSDT,SOLUSDT,up,4070,54328,6.657273396817961e-05,2.8458243845189006e-05,3.81144901229906e-05,0.4502125649411922,0.5184275184275184,3.1114601508132454e-05,0.6525571771221117,False,False,False,False
AVAXUSDT,ETHUSDT,down,3977,42449,0.0001034061612995,3.5789227369481e-05,6.76169339300507e-05,0.3970247136271583,0.5028916268544129,4.158151070726181e-05,0.691349236340056,False,False,False,False
XRPUSDT,AVAXUSDT,down,4504,53708,0.0001551338106642,0.000100053143005,5.508066765915524e-05,0.3775732271295578,0.5084369449378331,0.0001043148644222,0.7057476565755851,False,False,False,False
ETHUSDT,SOLUSDT,up,4070,54328,8.484340533199446e-05,4.426662914533343e-05,4.057677618666103e-05,0.3499735828478676,0.5218673218673219,4.709459378589836e-05,0.7263585233030749,False,False,False,False
ADAUSDT,XRPUSDT,up,3654,49763,6.580661231740372e-05,-4.03787193026903e-06,6.984448424767275e-05,0.3490022115640614,0.5054734537493158,7.398532403881844e-07,0.7270876492512581,False,False,False,False
XRPUSDT,BTCUSDT,up,3949,54263,6.101265451282436e-05,0.0001074661908681,-4.645353635531599e-05,-0.3299694749533632,0.5125348189415042,0.0001043148644222,0.7414230270013995,False,False,False,False
ETHUSDT,BTCUSDT,down,4352,54046,7.567757692413147e-05,4.4792977706677135e-05,3.088459921745434e-05,0.3195906344098468,0.4928768382352941,4.709459378589836e-05,0.7492786749813904,False,False,False,False
ADAUSDT,ETHUSDT,down,4418,48999,-4.11210695211751e-05,4.514247753757565e-06,-4.563531727493266e-05,-0.2930312412611456,0.4932095971027614,7.398532403881844e-07,0.7694982722181536,False,False,False,False
DOGEUSDT,BTCUSDT,up,3847,52389,7.628968814449569e-06,5.107029400438637e-05,-4.34413251899368e-05,-0.2851385204294709,0.5141668832856772,4.809855387340824e-05,0.7755380194103803,False,False,False,False
XRPUSDT,ADAUSDT,up,4238,53974,0.0001449841988144,0.0001011215372804,4.3862661534047656e-05,0.2804447691528307,0.5438886267107126,0.0001043148644222,0.7791362936553656,False,False,False,False
SOLUSDT,BTCUSDT,up,3893,53311,-2.177140406981693e-05,1.50410696296458e-05,-3.681247369946273e-05,-0.2590057699104356,0.5006421782686874,1.2535808457140236e-05,0.7956307886238658,False,False,False,False
ETHUSDT,XRPUSDT,down,4185,54213,6.905753302015018e-05,4.539915356500403e-05,2.3658379455146147e-05,0.219499270168173,0.5080047789725209,4.709459378589836e-05,0.8262611483251854,False,False,False,False
SOLUSDT,ETHUSDT,up,4118,53086,-1.6603204062794518e-05,1.479618696667365e-05,-3.1399391029468166e-05,-0.2142772600502688,0.5014570179698883,1.2535808457140236e-05,0.8303308500587687,False,False,False,False
AVAXUSDT,BTCUSDT,down,3313,43113,7.416643954329826e-05,3.907753582187251e-05,3.508890372142576e-05,0.2020587107451665,0.4841533353456082,4.158151070726181e-05,0.8398708260919401,False,False,False,False
ADAUSDT,BTCUSDT,down,4002,49415,2.337512000382397e-05,-1.0933216576644451e-06,2.4468441661488415e-05,0.1647453439645267,0.4812593703148425,7.398532403881844e-07,0.8691444252531242,False,False,False,False
XRPUSDT,BTCUSDT,down,4334,53878,8.650692217071326e-05,0.0001057473530394,-1.924043086876803e-05,-0.1624420977615343,0.4919243193354868,0.0001043148644222,0.8709577218264672,False,False,False,False
DOGEUSDT,BTCUSDT,down,4193,52043,6.711675659548959e-05,4.656629547143896e-05,2.0550461124050624e-05,0.1597635622876431,0.4946339136656332,4.809855387340824e-05,0.873067328407136,False,False,False,False
DOGEUSDT,ETHUSDT,down,4560,51676,6.678158884463269e-05,4.644992318471748e-05,2.033166565991521e-05,0.1406945331604195,0.5059210526315789,4.809855387340824e-05,0.8881112640421589,False,False,False,False
