target,leader,direction,event_count_low,control_count_low,event_mean_return_low,control_mean_return_low,delta_mean_return_low,delta_t_stat_low,event_win_rate_low,baseline_mean_return_low,event_count_high,control_count_high,event_mean_return_high,control_mean_return_high,delta_mean_return_high,delta_t_stat_high,event_win_rate_high,baseline_mean_return_high,same_sign
AVAXUSDT,SOLUSDT,down,1718,18193,0.00013887420481462103,1.2275532245972344e-05,0.00012659867256864868,0.6589899791627246,0.4918509895227008,2.319896750652874e-05,2576,23939,0.0004562472534432678,1.225012110793973e-05,0.00044399713233532804,2.0471267136630464,0.5081521739130435,5.5385576996900914e-05,True
AVAXUSDT,XRPUSDT,down,1376,18535,0.0004089123670722069,-5.435596173124511e-06,0.0004143479632453314,1.6965324203442922,0.49709302325581395,2.319896750652874e-05,2359,24156,0.0001250491506931102,4.8582448567137756e-05,7.646670212597246e-05,0.3283661443841396,0.4904620601949979,5.5385576996900914e-05,True
BTCUSDT,ADAUSDT,down,1935,27104,3.732739640698023e-05,1.693090912277105e-06,3.563430549470313e-05,0.40421948953739156,0.5033591731266149,4.067565967625107e-06,2464,26895,0.00021130859318687728,4.380918673082497e-05,0.00016749940645605232,1.3171209157881554,0.5020292207792207,5.786683642964688e-05,True
BTCUSDT,AVAXUSDT,down,1864,27175,-4.188684192139238e-05,7.219691682625231e-06,-4.9106533604017614e-05,-0.506180427964807,0.48175965665236054,4.067565967625107e-06,2640,26719,0.00019556625215431565,4.4261295147670574e-05,0.00015130495700664507,1.166648574833186,0.5045454545454545,5.786683642964688e-05,False
BTCUSDT,DOGEUSDT,down,1883,27156,0.00010909891546856846,-3.2153192551719354e-06,0.00011231423472374039,1.3210869976998667,0.49814126394052044,4.067565967625107e-06,2536,26823,0.00030666029871549797,3.434447799259964e-05,0.00027231582072289836,2.156782021088663,0.5173501577287066,5.786683642964688e-05,True
BTCUSDT,ETHUSDT,down,2011,27028,0.00011383635345601923,-4.0997061812264816e-06,0.00011793605963724571,1.4176527600315807,0.5017404276479364,4.067565967625107e-06,2614,26745,2.950149522776528e-05,6.063920516779303e-05,-3.1137709940027756e-05,-0.2534186787549719,0.5095638867635807,5.786683642964688e-05,False
BTCUSDT,SOLUSDT,down,2117,26922,-7.766600569229661e-07,4.448489617204195e-06,-5.2251496741271606e-06,-0.06110494994227747,0.5224374114312706,4.067565967625107e-06,2722,26637,0.00017475494927328433,4.592219389631426e-05,0.00012883275537697007,1.0736259574178075,0.5150624540778839,5.786683642964688e-05,False
BTCUSDT,XRPUSDT,down,1720,27319,5.5213839992102765e-05,8.474044931164605e-07,5.436643549898631e-05,0.5790119218554792,0.5296511627906977,4.067565967625107e-06,2465,26894,-8.674427051929142e-05,7.112133106150282e-05,-0.00015786560158079425,-1.2679930622956606,0.4900608519269777,5.786683642964688e-05,False
DOGEUSDT,ADAUSDT,down,1891,25227,0.00012372316669556797,-4.472833229464854e-05,0.00016845149899021651,1.0134550606313684,0.49603384452670546,-3.298182500832582e-05,2461,26657,0.00041328834584297854,9.686644360134785e-05,0.0003164219022416307,1.486993586111054,0.4924827305973182,0.00012360984292192798,True
DOGEUSDT,AVAXUSDT,down,1828,25290,-0.00010773568834989284,-2.757850107837783e-05,-8.015718727151501e-05,-0.4265653779545127,0.5043763676148797,-3.298182500832582e-05,2637,26481,0.0003937177670816446,9.671227122866971e-05,0.00029700549585297487,1.352721101017392,0.5180128934395146,0.00012360984292192798,False
DOGEUSDT,BTCUSDT,down,2050,25068,-0.00032867082137091603,-8.801098881657946e-06,-0.0003198697224892581,-2.17592308765146,0.4746341463414634,-3.298182500832582e-05,2143,26975,0.0004457282987472084,9.801948700594744e-05,0.00034770881174126097,1.669404658662687,0.51376574895007,0.00012360984292192798,False
DOGEUSDT,ETHUSDT,down,1960,25158,-3.971620498826751e-06,-3.524194110811982e-05,3.127032060929307e-05,0.20753896688260307,0.5005102040816326,-3.298182500832582e-05,2600,26518,0.00012011862358047059,0.00012395214514260034,-3.83352156212975e-06,-0.016848285281222425,0.51,0.00012360984292192798,False
DOGEUSDT,SOLUSDT,down,2032,25086,0.00012301669265616372,-4.561791636981201e-05,0.00016863460902597573,1.1107645349907356,0.49901574803149606,-3.298182500832582e-05,2713,26405,0.00022710236635757288,0.00011297643197396724,0.00011412593438360564,0.564857825375517,0.5068190195355695,0.00012360984292192798,True
DOGEUSDT,XRPUSDT,down,1653,25465,6.289585209710365e-05,-3.920549672461385e-05,0.0001021013488217175,0.5557789367609383,0.5075620084694494,-3.298182500832582e-05,2451,26667,-0.00010333085418661214,0.00014446826901459052,-0.00024779912320120265,-1.120995919733162,0.4985720114239086,0.00012360984292192798,False
ETHUSDT,ADAUSDT,down,1935,27104,0.00010029291731891613,-4.746774515222787e-06,0.00010503969183413892,0.8193048104134505,0.5085271317829457,2.2524955594718915e-06,2464,26895,0.0003019919538105583,7.215882859892574e-05,0.00022983312521163255,1.4233970957465192,0.5016233766233766,9.144793315022051e-05,True
ETHUSDT,AVAXUSDT,down,1864,27175,-8.066792018332505e-06,2.960320841717611e-06,-1.1027112860050117e-05,-0.08335686500368679,0.48873390557939916,2.2524955594718915e-06,2640,26719,0.0003285207837624483,6.802369101480069e-05,0.0002604970927476476,1.5669626198248157,0.5075757575757576,9.144793315022051e-05,False
ETHUSDT,BTCUSDT,down,2179,26860,-0.00023537056726357812,2.1529511713285216e-05,-0.0002569000789768633,-2.7295305727372763,0.48003671408903165,2.2524955594718915e-06,2173,27186,0.00038758457470831,6.77774806340089e-05,0.00031980709407430105,1.8959800846701471,0.5057524160147262,9.144793315022051e-05,False
ETHUSDT,DOGEUSDT,down,1883,27156,0.00020538467968583344,-1.183271222922816e-05,0.0002172173919150616,1.8027894890377119,0.514073287307488,2.2524955594718915e-06,2536,26823,0.00043619227424640257,5.8853829246111415e-05,0.00037733844500029113,2.2122379915655093,0.514589905362776,9.144793315022051e-05,True
ETHUSDT,SOLUSDT,down,2117,26922,-7.067933474263865e-06,2.9854035256118e-06,-1.0053336999875664e-05,-0.08749685738962043,0.512045347189419,2.2524955594718915e-06,2722,26637,0.0002461442549253441,7.56397194673025e-05,0.00017050453545804157,1.1342338364326103,0.5113886847905952,9.144793315022051e-05,False
ETHUSDT,XRPUSDT,down,1720,27319,0.00013727011971625613,-6.248193102253249e-06,0.00014351831281850938,1.041979719342452,0.516860465116279,2.2524955594718915e-06,2465,26894,2.1460920802176913e-05,9.786267195582496e-05,-7.640175115364805e-05,-0.48654799798889486,0.5018255578093306,9.144793315022051e-05,False
