target,leader,direction,event_count_h1,control_count_h1,event_mean_return_h1,control_mean_return_h1,delta_mean_return_h1,delta_t_stat_h1,event_win_rate_h1,baseline_mean_return_h1,event_count_h2,control_count_h2,event_mean_return_h2,control_mean_return_h2,delta_mean_return_h2,delta_t_stat_h2,event_win_rate_h2,baseline_mean_return_h2,same_sign,both_strong,both_strong_same_sign
XRPUSDT,AVAXUSDT,down,2163,26852,0.0002868661225092216,0.00018591360907821926,0.00010095251343100235,0.4498399529057812,0.5108645399907535,0.00019343938149080786,2341,26856,3.3417881351687936e-05,1.4205465205126181e-05,1.9212416146561755e-05,0.1015906876264926,0.506193934216147,1.574590655865911e-05,True,False,False
XRPUSDT,BTCUSDT,down,2522,26493,2.656703681281895e-05,0.00020932478719336658,-0.00018275775038054763,-1.2143827628516597,0.49881046788263284,0.00019343938149080786,1812,27385,0.0001699331864491943,5.543702755056785e-06,0.0001643894836941375,0.8571140779767846,0.48233995584988965,1.574590655865911e-05,False,False,False
XRPUSDT,DOGEUSDT,down,2080,26935,0.00036570282673363243,0.00018013669108408518,0.00018556613564954725,1.1037948564233655,0.48701923076923076,0.00019343938149080786,2336,26861,0.00046037647942942734,-2.2921939695244882e-05,0.0004832984191246722,2.456727768816968,0.5184075342465754,1.574590655865911e-05,True,False,False
XRPUSDT,ETHUSDT,down,2463,26552,0.00038677825354259296,0.0001755050020894992,0.00021127325145309375,1.1654617777811482,0.5196914332115307,0.00019343938149080786,2157,27040,5.133725907494808e-05,1.290675909646847e-05,3.843049997847961e-05,0.1760343028758932,0.5062586926286509,1.574590655865911e-05,True,False,False
XRPUSDT,SOLUSDT,down,2376,26639,0.00045523146360066757,0.0001700894814535307,0.0002851419821471369,1.6354539621071313,0.5130471380471381,0.00019343938149080786,2458,26739,4.433638664874754e-05,1.3117708044823964e-05,3.121867860392358e-05,0.18909007448232074,0.5012205044751831,1.574590655865911e-05,True,False,False
ADAUSDT,AVAXUSDT,up,1980,23961,0.0004757708888488487,-8.730645681513306e-05,0.0005630773456639817,2.5975495308910115,0.5237373737373737,-4.432842418668068e-05,2168,25308,0.00014813375104958158,3.430893077655256e-05,0.00011382482027302903,0.3580431604530755,0.5309040590405905,4.3290303987788806e-05,True,False,False
ADAUSDT,BTCUSDT,up,1788,24153,-0.0001010416374750593,-4.0130054404060653e-05,-6.091158307099864e-05,-0.3546437523624746,0.48713646532438476,-4.432842418668068e-05,1864,25612,-0.00010087372068948873,5.3782328897926446e-05,-0.00015465604958741518,-0.5629652189278138,0.5085836909871244,4.3290303987788806e-05,True,False,False
ADAUSDT,DOGEUSDT,up,2004,23937,-6.84301856735093e-05,-4.23106303938242e-05,-2.6119555279685106e-05,-0.13028181800769556,0.5229540918163673,-4.432842418668068e-05,2372,25104,-0.00034840524195256875,8.030041532345354e-05,-0.0004287056572760223,-1.7795226490279805,0.4936762225969646,4.3290303987788806e-05,True,False,False
ADAUSDT,ETHUSDT,up,1906,24035,2.7192926309264563e-05,-5.0000140186067855e-05,7.719306649533241e-05,0.40346862686989954,0.5026232948583421,-4.432842418668068e-05,2050,25426,-0.00018066990988302545,6.134734947017572e-05,-0.00024201725935320116,-1.2554899389030871,0.5034146341463415,4.3290303987788806e-05,False,False,False
ADAUSDT,SOLUSDT,up,2097,23844,5.984083246078507e-05,-5.3489761679959294e-05,0.00011333059414074436,0.6180106851779414,0.49690033381020504,-4.432842418668068e-05,1812,25664,0.0001244238040394013,3.7561894461077385e-05,8.686190957832391e-05,0.2944989693847517,0.5204194260485652,4.3290303987788806e-05,True,False,False
