split,family,symbol,feature,observations,utc_day_clusters,coefficient,coefficient_bps,ci_lower,ci_upper,cluster_p_value,status
oos,future_excess_return,DOGEUSDT,run_intensity_down,35030,365,6.714852929617671e-05,0.6714852929617672,-8.887470160277177e-05,0.0002231717601951252,0.3989377448951089,descriptive_no_family_decision
oos,future_excess_return,DOGEUSDT,run_intensity_zero,35030,365,-0.0002592562224278347,-2.592562224278347,-0.0005629059395846194,4.439349472894991e-05,0.09424506506753595,descriptive_no_family_decision
oos,future_excess_return,ETHUSDT,run_intensity_up,35037,365,-2.4289107353062065e-05,-0.24289107353062064,-0.0001403343459264002,9.175613122027608e-05,0.6816338391080299,descriptive_no_family_decision
oos,future_excess_return,ETHUSDT,run_intensity_down,35037,365,-6.786115159194111e-05,-0.6786115159194112,-0.00018089279362883386,4.5170490444951635e-05,0.2393114532693016,descriptive_no_family_decision
oos,future_excess_return,ETHUSDT,run_intensity_zero,35037,365,-1.5570495096900002e-05,-0.15570495096900003,-0.00017685340501044514,0.0001457124148166451,0.8499220578976954,descriptive_no_family_decision
oos,future_excess_return,SOLUSDT,run_intensity_up,35037,365,2.2492273863748777e-05,0.22492273863748777,-0.0001295797648134306,0.00017456431254092816,0.7719009786920262,descriptive_no_family_decision
oos,future_excess_return,SOLUSDT,run_intensity_down,35037,365,0.00012842189841686516,1.2842189841686515,-2.424563150329819e-05,0.0002810894283370285,0.09920999742331042,descriptive_no_family_decision
oos,future_excess_return,SOLUSDT,run_intensity_zero,35037,365,-0.0003041279079146937,-3.041279079146937,-0.0006938565392212563,8.560072339186889e-05,0.12614701946547505,descriptive_no_family_decision
oos,future_excess_return,XRPUSDT,run_intensity_up,35037,365,0.0001011400792383243,1.011400792383243,-2.8533875666631172e-05,0.00023081403414327976,0.1263420114473986,descriptive_no_family_decision
oos,future_excess_return,XRPUSDT,run_intensity_down,35037,365,-0.0001481663568944971,-1.4816635689449709,-0.00027287255885131235,-2.346015493768182e-05,0.019876073364399862,descriptive_no_family_decision
oos,future_excess_return,XRPUSDT,run_intensity_zero,35037,365,0.00030323363896623043,3.032336389662304,-0.0003605879206627478,0.0009670551985952087,0.370620646844926,descriptive_no_family_decision
oos,future_excess_abs_return,ADAUSDT,run_intensity_up,33292,365,8.289726046846992e-05,0.8289726046846991,-9.992155934622049e-05,0.0002657160802831603,0.37415092332096933,descriptive_no_family_decision
oos,future_excess_abs_return,ADAUSDT,run_intensity_down,33292,365,-0.0002042530134966283,-2.0425301349662828,-0.0005798601884592326,0.00017135416146597603,0.2865063290677349,descriptive_no_family_decision
oos,future_excess_abs_return,ADAUSDT,run_intensity_zero,33292,365,0.004397119529828912,43.971195298289125,-0.0014532221711045321,0.010247461230762357,0.1407214211619794,descriptive_no_family_decision
oos,future_excess_abs_return,AVAXUSDT,run_intensity_up,24710,365,-0.0001231393371046316,-1.2313933710463159,-0.0004925825711225442,0.00024630389691328097,0.5135778949352514,descriptive_no_family_decision
oos,future_excess_abs_return,AVAXUSDT,run_intensity_down,24710,365,-0.00023591980230802534,-2.3591980230802534,-0.000608734141911073,0.0001368945372950224,0.21487170181615822,descriptive_no_family_decision
oos,future_excess_abs_return,AVAXUSDT,run_intensity_zero,24710,365,0.00030190244951404095,3.0190244951404095,-0.0025011571261587115,0.003104962025186794,0.8328114529075069,descriptive_no_family_decision
oos,future_excess_abs_return,BTCUSDT,run_intensity_up,35037,365,-3.910522620723308e-05,-0.3910522620723308,-0.00021813961902309288,0.0001399291666086267,0.6685774571192543,descriptive_no_family_decision
oos,future_excess_abs_return,BTCUSDT,run_intensity_down,35037,365,-0.00012375398398043329,-1.237539839804333,-0.0003336375553383732,8.612958737750658e-05,0.24782161352451182,descriptive_no_family_decision
oos,future_excess_abs_return,BTCUSDT,run_intensity_zero,35037,365,0.0006008855725487675,6.008855725487675,0.00017726986998469705,0.001024501275112838,0.005433423482268604,descriptive_no_family_decision
oos,future_excess_abs_return,DOGEUSDT,run_intensity_up,35030,365,9.64487471269615e-05,0.964487471269615,-3.218262408867177e-05,0.0002250801183425948,0.14167136836797978,descriptive_no_family_decision
oos,future_excess_abs_return,DOGEUSDT,run_intensity_down,35030,365,2.544494493604145e-05,0.2544494493604145,-0.00011501887911529539,0.0001659087689873783,0.7225548273158408,descriptive_no_family_decision
oos,future_excess_abs_return,DOGEUSDT,run_intensity_zero,35030,365,0.0007182334098731872,7.1823340987318725,0.0003405377703244977,0.0010959290494218768,0.00019369115178059874,descriptive_no_family_decision
oos,future_excess_abs_return,ETHUSDT,run_intensity_up,35037,365,0.00010223284654447142,1.0223284654447142,-1.831794289855125e-05,0.0002227836359874941,0.09648402836133434,descriptive_no_family_decision
oos,future_excess_abs_return,ETHUSDT,run_intensity_down,35037,365,-8.752663766626206e-06,-0.08752663766626205,-0.00011899008911339814,0.00010148476158014573,0.8763342924990923,descriptive_no_family_decision
oos,future_excess_abs_return,ETHUSDT,run_intensity_zero,35037,365,-3.933764139554459e-05,-0.3933764139554459,-0.00020651657057121545,0.00012784128778012624,0.6446661145551791,descriptive_no_family_decision
oos,future_excess_abs_return,SOLUSDT,run_intensity_up,35037,365,0.000198982540506313,1.9898254050631299,9.401108244182753e-05,0.00030395399857079846,0.0002029768581048348,descriptive_no_family_decision
oos,future_excess_abs_return,SOLUSDT,run_intensity_down,35037,365,0.00015955993343522756,1.5955993343522756,3.654731306257768e-05,0.0002825725538078774,0.011013396185363206,descriptive_no_family_decision
