phase,dgp,scenario,observations,assets,weighting,market_mean,market_std,market_skew,market_excess_kurtosis,csad_mean,csad_std,corr_csad_market,corr_csad_abs_market,mean_weight_hhi,max_weight,repetitions
robustness,independent_gaussian,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,-8.667415656304354e-06,0.004024775609897422,-0.006870992570825299,0.09693465964437094,0.019804285645268566,0.002135878959459748,0.0018028284213022542,0.042031000391550055,0.025963975081725883,0.18363281770100565,300
robustness,independent_gaussian,n62_t1000_concentrated,1000,62,concentrated_static,6.111221359256563e-06,0.011372417522190422,0.0020385040423103076,0.003059163351335276,0.021584345633847063,0.003268587054374259,0.0007579738286206668,0.7376525609031366,0.20745901639344264,0.45,300
robustness,independent_gaussian,n62_t2500_equal,2500,62,equal,8.467917795280821e-07,0.0031719482757120243,-0.0025692826584602243,0.00040593623466578097,0.019780338950094716,0.0019113491664893663,0.0014458088971894825,-0.0013294751640496461,0.01612903225806452,0.01612903225806452,300
robustness,jump_diffusion_factor,n14_t1000_concentrated,1000,14,concentrated_static,7.660537499794313e-06,0.018294413973175883,-0.0030901241348845762,3.6511782392019723,0.01684696580704584,0.004124454084264173,-0.0007026007950341652,0.2073068644159653,0.2257692307692309,0.4500000000000001,300
robustness,jump_diffusion_factor,n14_t1000_equal,1000,14,equal,-1.3606951812123151e-05,0.016442713490138094,-0.045623781586208285,4.934424272530521,0.015704693067739386,0.003366899914389705,-0.0017861585507953223,0.10866059243575256,0.07142857142857142,0.07142857142857144,300
robustness,jump_diffusion_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.3942331337988923e-05,0.016741647123527718,0.06852485487686803,4.895551617230068,0.01584331451712979,0.0034117623622509793,0.005730328143345306,0.11129547656121484,0.0902135363687635,0.3733802817363684,300
robustness,jump_diffusion_factor,n14_t2500_equal,2500,14,equal,-1.0292411864087822e-05,0.016453252307423012,-0.018662934678131505,5.146379665870764,0.015693345126296113,0.0033633071595238467,-0.0014209343624742435,0.105422335554443,0.07142857142857142,0.07142857142857144,300
robustness,jump_diffusion_factor,n14_t250_equal,250,14,equal,1.1353125182829756e-05,0.01646823376826089,-0.023267968983868768,4.0123396251723715,0.015715659455185844,0.0033692690682143155,-0.0031967797562917353,0.10017636733981976,0.07142857142857142,0.07142857142857144,300
robustness,jump_diffusion_factor,n50_t1000_equal,1000,50,equal,-3.698295982361499e-07,0.01582596247702326,-0.07152431005688635,6.350206765619282,0.016123772453640408,0.001830898203648114,-0.0052830278526215775,0.20994900202763966,0.02000000000000001,0.02,300
robustness,jump_diffusion_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,-4.090675729170367e-05,0.01583108632364925,0.054961688578811445,5.406094121259106,0.01617197967087255,0.0018304679448243998,0.005383619270887959,0.20053470385788644,0.025958113430380448,0.18563283330971175,300
