phase,dgp,scenario,observations,assets,weighting,model,repetitions,mean_target_coefficient,median_target_coefficient,target_coefficient_std,monte_carlo_standard_error,mean_ci_confidence,mean_ci_lower,mean_ci_upper,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,bh4_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh3_wilson_ci_lower,bh3_wilson_ci_upper,bh4_wilson_ci_lower,bh4_wilson_ci_upper,theoretical_target_coefficient,coefficient_bias,absolute_relative_error,theory_inside_mean_ci
robustness,independent_gaussian,n62_t1000_concentrated,1000,62,concentrated_static,intercept_restored,300,12.009138259382341,12.055954401010789,1.1926006628166141,0.06885483137128982,0.95,11.873636793868267,12.144639724896416,0.0,0.0,,0.0,8.673617379884035e-19,0.012642971224546034,,,8.673617379884035e-19,0.012642971224546034,,,,False
robustness,independent_gaussian,n62_t1000_concentrated,1000,62,concentrated_static,scsad,300,-1602.4411724313954,-1594.345404154611,270.3742115763141,15.610062383551776,0.95,-1633.160677331953,-1571.721667530838,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t250_equal,250,14,equal,standard_csad,300,0.4661616843804786,0.5053496606647425,1.4643733530522052,0.08454563495788055,0.95,0.29978182095686984,0.6325415478040874,0.36333333333333334,0.03333333333333333,0.03333333333333333,0.02666666666666667,0.01820494733885481,0.06026182580405482,0.01820494733885481,0.06026182580405482,0.01357306980864708,0.05172894295058982,,,,False
robustness,common_factor,n14_t250_equal,250,14,equal,no_intercept_csad,300,-33.249297717364506,-32.82794108079321,5.7387744523700945,0.3313282974894421,0.95,-33.90132850419499,-32.59726693053402,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t250_equal,250,14,equal,intercept_restored,300,0.4670192514413598,0.5207322728811528,1.4802695549224596,0.08546340260076894,0.95,0.2988332858440025,0.6352052170387171,0.36666666666666664,0.023333333333333334,,0.023333333333333334,0.011347660299125234,0.04737197226827532,,,0.011347660299125234,0.04737197226827532,,,,False
robustness,common_factor,n14_t250_equal,250,14,equal,scsad,300,-433.56487401346914,-418.62073876952945,119.03472969108132,6.872473323006013,0.95,-447.089418165675,-420.0403298612633,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_equal,1000,14,equal,standard_csad,300,0.4586767020954693,0.4599360936948206,0.7104626571953512,0.04101858063809128,0.95,0.3779550202748068,0.5393983839161317,0.24333333333333335,0.01,0.01,0.01,0.003406618437715286,0.02898349336233983,0.003406618437715286,0.02898349336233983,0.003406618437715286,0.02898349336233983,,,,False
robustness,common_factor,n14_t1000_equal,1000,14,equal,no_intercept_csad,300,-31.712233982880054,-31.52457592570351,4.0299104536482675,0.2326669885223914,0.95,-32.17010625260543,-31.25436171315468,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,common_factor,n14_t1000_equal,1000,14,equal,intercept_restored,300,0.4612940919692852,0.45169682645622206,0.713577645373082,0.041198424564384814,0.95,0.38021848995026847,0.542369693988302,0.24,0.01,,0.01,0.003406618437715286,0.02898349336233983,,,0.003406618437715286,0.02898349336233983,,,,False
robustness,common_factor,n14_t1000_equal,1000,14,equal,scsad,300,-382.4687599355617,-378.32697109401215,82.30038630784476,4.7516150189244355,0.95,-391.8196041072811,-373.1179157638423,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
