coefficient,cluster_std_error,cluster_t_stat,cluster_p_value,ci_lower,ci_upper,outcome_mean,outcome_std,observations,utc_day_clusters,rsquared,condition_number,family,outcome,horizon_minutes,omitted_symbol,q_value_bh_fdr_21
-0.5453428572880452,0.7132486760675689,-0.7645900729809174,0.4445156822396321,-1.9432845744013558,0.8525988598252654,25.906777515428814,31.55433003804458,198156,365,0.1586798838054122,49.41438332817886,future_absolute_return,abs_forward_return_15m_bps,15,DOGEUSDT,0.6794427492986969
-0.7292740088170789,0.8218098605789018,-0.8873999252130675,0.3748636237522095,-2.3399917376916095,0.8814437200574518,25.811982045794256,30.650020805730637,199894,365,0.1706021895912866,47.87459864027393,future_absolute_return,abs_forward_return_15m_bps,15,ADAUSDT,0.6794427492986969
-0.29636804494534447,1.0213256926358694,-0.2901797605624397,0.7716787191187476,-2.2981296189970735,1.7053935291063844,25.688843107667132,31.25960704663713,208476,365,0.1626991664224513,45.86324131340269,future_absolute_return,abs_forward_return_15m_bps,15,AVAXUSDT,0.9002918389718721
1.175067950943217,2.122096794897888,0.5537296666996565,0.57976386892336,-2.9841653387645257,5.33430124065096,39.80645549564889,46.994967515566266,198143,365,0.13105467861729725,43.55057763408091,future_absolute_return,abs_forward_return_30m_bps,30,BTCUSDT,0.76094007796191
-1.6059030698911039,1.8871737698470077,-0.8509566503890597,0.39479343381418885,-5.30469569135992,2.092889551577712,37.61771454023077,45.73590691047729,198143,365,0.15155255022462977,42.218180170963066,future_absolute_return,abs_forward_return_30m_bps,30,ETHUSDT,0.6794427492986969
-1.2072855337508737,0.7245122235849409,-1.6663425328797548,0.0956452097699496,-2.627303398336389,0.2127323308346416,37.35403272079653,45.18141012082637,198143,365,0.15075299691466404,49.63908488523501,future_absolute_return,abs_forward_return_30m_bps,30,XRPUSDT,0.4017098810337883
-0.8817597834775432,0.7663074682053774,-1.1506605638889893,0.24987190648088187,-2.3836948222441556,0.6201752552890691,36.68426363963786,45.27617157230512,198143,365,0.15446171060978342,49.76488379361215,future_absolute_return,abs_forward_return_30m_bps,30,SOLUSDT,0.6794427492986969
-1.2140593308417351,0.6562774477367733,-1.849917797767573,0.06432539827923069,-2.5003394922716784,0.07222083058820816,36.1037450119066,43.96987825237638,198150,365,0.15250003985428207,49.41219298762204,future_absolute_return,abs_forward_return_30m_bps,30,DOGEUSDT,0.4017098810337883
-1.5053313118516765,0.7798101285215119,-1.9303818414178886,0.05355954318103753,-3.033731078533391,0.02306845483003772,35.96065962723041,43.11981420850429,199888,365,0.16163979683091345,47.87246122365274,future_absolute_return,abs_forward_return_30m_bps,30,ADAUSDT,0.4017098810337883
-0.9595218199778848,1.0091577966425502,-0.9508144545582431,0.3416985736084446,-2.937434756115079,1.0183911161593096,35.72944886787142,43.688163705709776,208470,365,0.1546782115455836,45.86093309100013,future_absolute_return,abs_forward_return_30m_bps,30,AVAXUSDT,0.6794427492986969
1.430455905493975,1.5405637008874038,0.9285275932893888,0.35313396132247143,-1.5889934641350731,4.449905275123023,21.35164909027487,22.099481572456515,198155,365,0.21857169181501168,43.55318291940138,future_realized_volatility,realized_volatility_5m_bps,5,BTCUSDT,0.6845262640237206
-0.12034845989010333,1.4230263962329894,-0.08457219079610025,0.9326015083684076,-2.909428945556587,2.6687320257763805,20.133710031186137,21.978355753849836,198155,365,0.23573797926758333,42.22088445396115,future_realized_volatility,realized_volatility_5m_bps,5,ETHUSDT,0.9326015083684076
-0.5144843759529182,0.43641231977853034,-1.1788951700859585,0.23843992122730362,-1.3698368051284149,0.3408680532225784,19.95668062940373,21.603855644127364,198155,365,0.2352132505854171,49.642979829225304,future_realized_volatility,realized_volatility_5m_bps,5,XRPUSDT,0.6629762025136384
-0.15393003933435245,0.6117730023023328,-0.2516129982118459,0.8013402106838486,-1.3529830905608642,1.0451230118921595,19.644989775275235,21.8876892037331,198155,365,0.23690481104349104,49.76878981776169,future_realized_volatility,realized_volatility_5m_bps,5,SOLUSDT,0.9326015083684076
-0.5780757466363694,0.3144313707108959,-1.838479873459832,0.06599172492577046,-1.1943499088392877,0.038198415566548904,19.27169056069503,20.147303628808977,198162,365,0.25383185524298113,49.416080723083546,future_realized_volatility,realized_volatility_5m_bps,5,DOGEUSDT,0.34645655586029495
-0.5290245643647107,0.5429788931210668,-0.974300421373387,0.3299073955050228,-1.593243639247425,0.5351945105180036,19.16843758009388,19.904757421194567,199900,365,0.26763328156761257,47.87627661012356,future_realized_volatility,realized_volatility_5m_bps,5,ADAUSDT,0.6845262640237206
-0.25035771089902714,0.8241396664480634,-0.3037806831674986,0.7612949842971914,-1.8656417753680845,1.3649263535700302,19.040372261070328,19.41354808209337,208482,365,0.28049971145594266,45.864972798709424,future_realized_volatility,realized_volatility_5m_bps,5,AVAXUSDT,0.9326015083684076
2.2192371784241605,2.4171805376072713,0.9181098159184039,0.3585613763933775,-2.5183496194172568,6.956823976265578,36.09610828184585,37.32415073079165,198149,365,0.19639291387388302,43.55226368208195,future_realized_volatility,realized_volatility_15m_bps,15,BTCUSDT,0.6845262640237206
-0.24198357168273812,2.187182834464782,-0.11063710260964675,0.9119041244564822,-4.528783154837941,4.044816011472466,34.03373335967141,37.25101116864952,198149,365,0.212712483399353,42.21991007413521,future_realized_volatility,realized_volatility_15m_bps,15,ETHUSDT,0.9326015083684076
-0.8208052242649048,0.49561545210804003,-1.6561332395382542,0.09769483927925958,-1.7921936605781994,0.15058321204838976,33.79419357166912,36.2349237645147,198149,365,0.21554347130725315,49.641282717315164,future_realized_volatility,realized_volatility_15m_bps,15,XRPUSDT,0.4103183249728902
-0.14416911098351315,0.8600419746977442,-0.16763031947851195,0.8668741172079588,-1.8298204065838002,1.541482184616774,33.255690517700245,37.18847863851548,198149,365,0.21323417427344238,49.767092252758296,future_realized_volatility,realized_volatility_15m_bps,15,SOLUSDT,0.9326015083684076
-0.7420509872659492,0.4841369311815275,-1.5327295636277676,0.1253425017930702,-1.6909419359674898,0.20683996143559136,32.72683135602731,35.510374828612605,198156,365,0.2161454004716068,49.41438332817886,future_realized_volatility,realized_volatility_15m_bps,15,DOGEUSDT,0.43869875627574567
-0.8584717435953467,0.7503154507092539,-1.1441477618298483,0.25256236286233846,-2.3290630040294227,0.6121195168387291,32.53348744825435,35.26909199857641,199894,365,0.22449514333807452,47.87459864027393,future_realized_volatility,realized_volatility_15m_bps,15,ADAUSDT,0.6629762025136384
-0.2613694699026951,1.3646467375523628,-0.19152903290670573,0.8481111365780697,-2.9360279271254095,2.413288987320019,32.22541542405459,28.174877943172852,208476,365,0.33951309929129114,45.86324131340269,future_realized_volatility,realized_volatility_15m_bps,15,AVAXUSDT,0.9326015083684076
2.4234155283519883,3.0513341105766445,0.7942150680752585,0.42707023793319454,-3.5570894331767935,8.40392048988077,52.1191773968513,51.68940814001009,198143,365,0.19947925268421973,43.55057763408091,future_realized_volatility,realized_volatility_30m_bps,30,BTCUSDT,0.7152312073967532
-0.8147122796303247,2.7613148489746715,-0.2950450507057689,0.7679594652013864,-6.226789933596339,4.59736537433569,49.12373999212455,51.71921834675304,198143,365,0.21768999009532186,42.218180170963066,future_realized_volatility,realized_volatility_30m_bps,30,ETHUSDT,0.9326015083684076
-1.5510300163774187,0.4385985971792195,-3.536331457402357,0.0004057252957054241,-2.41066747051848,-0.6913925622363575,48.804846531150886,50.24224085116169,198143,365,0.2206674109938862,49.63908488523501,future_realized_volatility,realized_volatility_30m_bps,30,XRPUSDT,0.004260115604906953
-0.683857758793063,0.8909766799575667,-0.7675372141340805,0.4427621760075139,-2.4301399625749642,1.062424444988838,48.03030790567288,51.643878399184864,198143,365,0.2183673131653735,49.76488379361215,future_realized_volatility,realized_volatility_30m_bps,30,SOLUSDT,0.7152312073967532
-1.5404115658719082,0.3965842818262691,-3.8841972222860646,0.0001026685457793412,-2.317702475086078,-0.7631206566577381,47.25015203658018,49.27096691280958,198150,365,0.22149547179830376,49.41219298762204,future_realized_volatility,realized_volatility_30m_bps,30,DOGEUSDT,0.002156039461366165
-1.6919291491467305,0.7719973102495644,-2.191625704757674,0.02840654432185918,-3.205016073397671,-0.17884222489578994,46.991503047523146,48.922448481043894,199888,365,0.2298305762892685,47.87246122365274,future_realized_volatility,realized_volatility_30m_bps,30,ADAUSDT,0.19884581025301426
-0.7603232429306351,1.7293279296601827,-0.43966400466338423,0.6601804765692036,-4.149743702523809,2.629097216662539,46.55870162962573,38.67983477866343,208470,365,0.3515839085017234,45.86093309100013,future_realized_volatility,realized_volatility_30m_bps,30,AVAXUSDT,0.9326015083684076
