symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ADAUSDT,2025-04-14 08:15:00+00:00,2,3,1,837,427,201,28.9875
DOGEUSDT,2025-04-14 10:00:00+00:00,2,2,1,1574,671,370,56.45
ADAUSDT,2025-04-14 13:30:00+00:00,3,4,2,3184,1862,689,18.4375
DOGEUSDT,2025-04-14 15:30:00+00:00,5,3,4,8677,4340,1788,3.625
SOLUSDT,2025-04-14 15:30:00+00:00,5,3,5,9461,4929,1971,8.2125
DOGEUSDT,2025-04-14 16:15:00+00:00,4,2,3,4566,1928,939,44.2
ETHUSDT,2025-04-14 23:15:00+00:00,4,1,4,7109,837,442,106.55
SOLUSDT,2025-04-15 00:00:00+00:00,4,3,4,3972,1997,866,26.9375
DOGEUSDT,2025-04-15 01:00:00+00:00,3,3,2,2775,1356,539,36.4125
XRPUSDT,2025-04-15 01:30:00+00:00,3,2,3,3296,1471,754,48.225
ADAUSDT,2025-04-15 07:00:00+00:00,2,4,1,841,504,191,52.55
ETHUSDT,2025-04-15 07:45:00+00:00,3,3,3,2587,1289,389,1.15
XRPUSDT,2025-04-15 13:30:00+00:00,4,3,4,7346,3465,1498,32.2375
DOGEUSDT,2025-04-15 14:00:00+00:00,4,2,3,4077,1663,930,44.2
XRPUSDT,2025-04-15 14:45:00+00:00,4,2,3,4347,1875,868,29.925
ADAUSDT,2025-04-15 15:00:00+00:00,5,3,4,7936,4053,1507,1.0
DOGEUSDT,2025-04-15 21:15:00+00:00,2,4,2,1182,649,221,20.825
BTCUSDT,2025-04-15 21:30:00+00:00,5,1,4,7777,2220,698,173.075
DOGEUSDT,2025-04-15 22:00:00+00:00,3,3,2,1917,880,418,36.4125
XRPUSDT,2025-04-16 00:15:00+00:00,4,3,4,5139,2580,1054,32.2375
DOGEUSDT,2025-04-16 00:45:00+00:00,2,3,2,1314,597,304,66.0875
SOLUSDT,2025-04-16 01:45:00+00:00,3,3,3,2135,1018,481,43.7
SOLUSDT,2025-04-16 02:00:00+00:00,3,3,4,2354,1235,533,43.7
SOLUSDT,2025-04-16 02:30:00+00:00,3,3,3,2082,1052,466,43.7
BTCUSDT,2025-04-16 03:30:00+00:00,4,1,4,4360,1236,446,46.3875
SOLUSDT,2025-04-16 04:45:00+00:00,2,4,3,1656,920,380,69.175
ETHUSDT,2025-04-16 07:00:00+00:00,4,1,4,5598,1392,524,106.55
ADAUSDT,2025-04-16 07:15:00+00:00,1,4,2,796,447,185,104.5375
SOLUSDT,2025-04-16 08:45:00+00:00,3,3,4,3109,1660,714,43.7
DOGEUSDT,2025-04-16 09:45:00+00:00,2,3,1,954,439,235,66.0875
SOLUSDT,2025-04-16 11:45:00+00:00,4,4,4,4341,2461,896,52.7875
SOLUSDT,2025-04-16 15:15:00+00:00,5,4,5,8248,4674,1596,14.5375
XRPUSDT,2025-04-16 17:30:00+00:00,5,2,5,12203,4552,2269,11.6125
DOGEUSDT,2025-04-16 18:45:00+00:00,3,2,2,2741,1012,582,69.6875
SOLUSDT,2025-04-16 19:45:00+00:00,5,4,5,15798,8493,3312,14.5375
AVAXUSDT,2025-04-16 21:45:00+00:00,1,4,1,229,139,48,15.825
SOLUSDT,2025-04-17 07:15:00+00:00,4,3,4,3688,1961,799,26.9375
AVAXUSDT,2025-04-17 13:45:00+00:00,1,5,1,298,226,53,225.225
DOGEUSDT,2025-04-17 14:15:00+00:00,3,3,2,1823,885,421,36.4125
DOGEUSDT,2025-04-17 17:00:00+00:00,3,4,2,2832,1559,554,10.075
DOGEUSDT,2025-04-17 18:45:00+00:00,3,4,2,2324,1258,487,10.075
SOLUSDT,2025-04-17 21:15:00+00:00,2,4,3,1639,901,375,69.175
ETHUSDT,2025-04-17 22:30:00+00:00,3,1,3,3211,698,313,19.05
SOLUSDT,2025-04-18 02:30:00+00:00,2,3,3,1550,811,343,16.0375
ETHUSDT,2025-04-18 04:15:00+00:00,3,1,3,3386,948,394,19.05
BTCUSDT,2025-04-18 04:30:00+00:00,3,2,4,3021,1010,418,18.6125
BTCUSDT,2025-04-18 06:45:00+00:00,3,2,4,3417,1183,537,18.6125
ETHUSDT,2025-04-18 07:45:00+00:00,3,2,3,3456,1052,389,16.575
DOGEUSDT,2025-04-18 08:15:00+00:00,2,3,1,1226,564,296,66.0875
ETHUSDT,2025-04-18 09:15:00+00:00,4,1,3,3789,663,333,106.55
BTCUSDT,2025-04-18 10:30:00+00:00,3,2,4,3383,1218,527,18.6125
ADAUSDT,2025-04-18 10:45:00+00:00,1,4,1,515,311,123,104.5375
BTCUSDT,2025-04-18 11:15:00+00:00,3,2,4,3215,1216,542,18.6125
ETHUSDT,2025-04-18 11:30:00+00:00,3,1,3,3345,715,352,19.05
ETHUSDT,2025-04-18 16:45:00+00:00,3,1,3,2639,737,308,19.05
BTCUSDT,2025-04-18 17:15:00+00:00,3,2,3,3160,1200,486,18.6125
ADAUSDT,2025-04-18 18:30:00+00:00,2,5,2,825,546,153,40.525
SOLUSDT,2025-04-18 18:30:00+00:00,2,3,2,1438,700,331,16.0375
SOLUSDT,2025-04-18 18:45:00+00:00,2,3,3,1141,599,286,16.0375
XRPUSDT,2025-04-18 20:15:00+00:00,2,4,2,1269,745,286,31.5375
ADAUSDT,2025-04-18 20:45:00+00:00,1,5,1,543,385,84,81.6375
